AppTimestamp(s),Latitude_degrees,Longitude_degrees
60.9316,49.46131643,11.11096444
67.1897,49.4612756,11.11098835
74.2795,49.46123591,11.11104875
89.6514,49.46118962,11.1108611
98.7179,49.46120027,11.11096477
111.8643,49.4610948,11.11102745
116.9053,49.46105277,11.11105204
151.8263,49.46105277,11.11105204
157.6577,49.4610948,11.11102745
169.4991,49.46120027,11.11096477
177.3921,49.46118962,11.1108611
192.3035,49.46123591,11.11104875
199.3916,49.4612756,11.11098835
204.9181,49.46131643,11.11096444
