AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:02,wifi_rssi_20:23:00:00:00:03,wifi_rssi_20:23:00:00:00:04,wifi_rssi_20:23:00:00:00:05,wifi_rssi_20:23:00:00:00:06,wifi_rssi_20:23:00:00:00:07,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:10,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:13,wifi_rssi_20:23:00:00:00:14,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:16,wifi_rssi_20:23:00:00:00:17,wifi_rssi_20:23:00:00:00:19,wifi_rssi_20:23:00:00:00:21,wifi_rssi_20:23:00:00:00:22,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:26,wifi_rssi_20:23:00:00:00:27,wifi_rssi_20:23:00:00:00:28,wifi_rssi_20:23:00:00:00:30,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:48,wifi_rssi_20:23:00:00:00:49,wifi_rssi_20:23:00:00:00:50,wifi_rssi_20:23:00:00:00:51,wifi_rssi_20:23:00:00:00:52,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:68,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:71,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:51,wifi_rssi_20:23:00:00:01:66,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:02,wifi_freq_20:23:00:00:00:03,wifi_freq_20:23:00:00:00:04,wifi_freq_20:23:00:00:00:05,wifi_freq_20:23:00:00:00:06,wifi_freq_20:23:00:00:00:07,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:10,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:13,wifi_freq_20:23:00:00:00:14,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:16,wifi_freq_20:23:00:00:00:17,wifi_freq_20:23:00:00:00:19,wifi_freq_20:23:00:00:00:21,wifi_freq_20:23:00:00:00:22,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:26,wifi_freq_20:23:00:00:00:27,wifi_freq_20:23:00:00:00:28,wifi_freq_20:23:00:00:00:30,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:48,wifi_freq_20:23:00:00:00:49,wifi_freq_20:23:00:00:00:50,wifi_freq_20:23:00:00:00:51,wifi_freq_20:23:00:00:00:52,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:68,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:71,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:51,wifi_freq_20:23:00:00:01:66,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:25
2.0224,-56.0,-83.0,-92.0,,,,,-75.0,,,,,-68.0,,,,,,-92.0,,,,,-92.0,-84.0,-73.0,-76.0,,,,,,,-70.0,,,,,-83.0,-71.0,-71.0,-72.0,-90.0,,,,,,,,,,,,,,,-86.0,2437.0,2437.0,5200.0,,,,,5200.0,,,,,2452.0,,,,,,2462.0,,,,,2412.0,2457.0,2462.0,2412.0,,,,,,,2427.0,,,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,2437.0
3.9702,-66.0,,,,,,,,,,,,-70.0,,,,,,,-87.0,,,,,-83.0,-71.0,-72.0,,,,,,,-74.0,,,,,-84.0,-77.0,-77.0,-78.0,-90.0,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,2452.0,,,,,,,2412.0,,,,,2457.0,2462.0,2412.0,,,,,,,2427.0,,,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,
5.9216,-60.0,,,,,,,,,,,,-73.0,,,,,,,-92.0,,,,,-80.0,,-73.0,,,,,,,-76.0,,,,,-83.0,-72.0,-73.0,,,,,,,,,,,,,,,,,-94.0,2437.0,,,,,,,,,,,,2452.0,,,,,,,2412.0,,,,,2457.0,,2412.0,,,,,,,2427.0,,,,,2437.0,5220.0,5220.0,,,,,,,,,,,,,,,,,2437.0
7.9441,-58.0,,,,,,,-79.0,,,,,-69.0,,,,,,,-83.0,,,,,-81.0,,-75.0,,,,,,,-74.0,,,,,-89.0,-73.0,-72.0,-72.0,,,-92.0,,,,,,,,,,,,-89.0,-92.0,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,2412.0,,,,,2457.0,,2412.0,,,,,,,2427.0,,,,,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,2462.0,2437.0
9.9169,-61.0,,,,,,,-77.0,,,,,-68.0,,,,,,,-89.0,,,,,-76.0,-70.0,-72.0,,,,,,,-69.0,,,,,-85.0,-73.0,-74.0,,-93.0,,,,,,,,,,,,,,-92.0,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,2412.0,,,,,2457.0,2462.0,2412.0,,,,,,,2427.0,,,,,2437.0,5220.0,5220.0,,2462.0,,,,,,,,,,,,,,2462.0,
11.9232,-69.0,,,,,,,-74.0,,,,,-70.0,,,,,,,,,,,,-81.0,-78.0,-74.0,,,,,,,-75.0,,,,,-87.0,-69.0,-70.0,-76.0,,,,,,,,,,,,,,,,-95.0,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,,,,,,2457.0,2462.0,2412.0,,,,,,,2427.0,,,,,2437.0,5220.0,5220.0,2462.0,,,,,,,,,,,,,,,,2437.0
13.9439,-67.0,,,,,,,-76.0,,,,,-68.0,,,,,,,-90.0,,,,,-82.0,-82.0,-76.0,,,,,,,-75.0,,,,,-90.0,-69.0,-69.0,-82.0,-90.0,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,2412.0,,,,,2457.0,2462.0,2412.0,,,,,,,2427.0,,,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,
15.9221,-65.0,,,,,,,-77.0,,,,,-72.0,,,,,,,,,,,-91.0,-81.0,-71.0,-77.0,,,,,,,-68.0,,,,,-85.0,-72.0,-72.0,-70.0,,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,,,,,2412.0,2457.0,2462.0,2412.0,,,,,,,2427.0,,,,,2437.0,5220.0,5220.0,2462.0,,,,,,,,,,,,,,,,
17.9333,-60.0,,,,,,,-74.0,,,,,-67.0,,,,,,,,,,,,-83.0,-66.0,-79.0,,,,,,,-72.0,,,,,-83.0,-72.0,-72.0,-67.0,-93.0,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,,,,,,2457.0,2462.0,2412.0,,,,,,,2427.0,,,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,
19.9341,-72.0,,,,,,,-73.0,,,,,-69.0,,,,,,-93.0,,,,,-93.0,-78.0,-74.0,-73.0,,,,,,,-71.0,,,,,-86.0,-76.0,-76.0,-74.0,-92.0,,,,,,,,,,,,,,,-95.0,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,2462.0,,,,,2412.0,2457.0,2462.0,2412.0,,,,,,,2427.0,,,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,2437.0
