AppTimestamp(s),ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:03,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:05,ble_rssi_BE:AC:20:23:00:06
0.1014,,,,,-87.0
0.1107,,,,-80.0,
0.1336,-96.0,,,,
0.1748,,,-85.0,,
0.2439,,,,-81.0,
0.3739,,,-90.0,,
0.4475,,,,,-91.0
0.4595,,,,-87.0,
0.5198,-89.0,,,,
0.648,,,,,-94.0
1.6094,,,-88.0,,
1.6789,,,,,-94.0
1.6849,,,,-77.0,
1.741,-90.0,,,,
1.8381,,,-85.0,,
1.8947,,,,-80.0,
2.0217,,,-82.0,,
2.1242,,,,,-90.0
2.1479,,,,-78.0,
2.1742,-82.0,,,,
2.2243,,,-83.0,,
2.319,,,,-86.0,
2.3605,-83.0,,,,
2.4366,,,-86.0,,
2.5089,,,,,-92.0
2.6605,,,-81.0,,
2.7088,,,,,-89.0
2.7703,-85.0,,,,
2.9291,,,,-78.0,
2.978,-88.0,,,,
3.0818,,,-88.0,,
3.1319,,,,-75.0,
3.1718,-91.0,,,,
3.2779,,,-85.0,,
3.349,,,,-85.0,
3.385,-85.0,,,,
3.4774,,,-88.0,,
3.5191,,,,,-95.0
3.5864,-81.0,,,,
3.6785,,,-97.0,,
3.72,,,,,-91.0
3.7533,,,,-83.0,
3.9364,,,,,-87.0
3.9706,,,,-76.0,
4.1252,,,,,-94.0
4.1693,,,,-81.0,
4.3364,,,,,-93.0
4.4266,-93.0,,,,
5.5437,,,-91.0,,
6.0386,,,,-86.0,
6.1431,,,-86.0,,
6.2406,,,,-83.0,
6.2514,-88.0,,,,
6.3463,,,-89.0,,
6.3646,,,,,-90.0
6.4479,,,,-89.0,
6.4593,-91.0,,,,
6.5713,,,,,-93.0
6.6574,,,,-80.0,
6.6704,-90.0,,,,
6.7842,,,,,-92.0
6.8422,,,,-77.0,
6.958,,,-83.0,,
6.9684,,,,,-94.0
7.2422,,,,-77.0,
7.3653,,,-86.0,,
7.3863,,,,,-91.0
7.4825,-90.0,,,,
7.569,,,-86.0,,
7.5836,,,,,-89.0
7.6521,,,,-92.0,
7.7679,,,-90.0,,
7.791,,,,,-93.0
7.8545,,,,-87.0,
7.8997,-86.0,,,,
7.9842,,,-92.0,,
7.998,,,,,-88.0
8.0629,,,,-81.0,
8.0996,-86.0,,,,
8.2098,,,,,-86.0
8.3276,-81.0,,,,
8.4225,,,,,-95.0
8.4627,,,,-76.0,
8.5256,-84.0,,,,
8.6287,,,,,-89.0
9.5474,-86.0,,,,
9.6188,,,-91.0,,
9.6403,,,,,-90.0
9.6794,,,,-90.0,
9.7312,-92.0,,,,
9.8191,,,-86.0,,
9.9221,,-98.0,,,
9.9618,-95.0,,,,
10.0508,,,,,-84.0
10.142,-82.0,,,,
10.4596,,,,,-87.0
10.4946,,,,-85.0,
10.5586,-87.0,,,,
10.6458,,,-84.0,,
10.6697,,,,,-89.0
10.6924,,,,-86.0,
10.7581,-88.0,,,,
10.8432,,,-83.0,,
10.866,,,,,-90.0
10.8923,,,,-83.0,
11.0573,,,-93.0,,
11.1,,,,,-85.0
11.1753,-93.0,,,,
11.287,,,-85.0,,
11.2996,,,,,-91.0
11.376,-87.0,,,,
11.5037,,,,,-89.0
11.5237,,,,-82.0,
11.69,,,,,-90.0
11.7232,,,,-73.0,
11.9007,,,-86.0,,
11.9116,,,,,-86.0
11.9851,-93.0,,,,
12.1067,,,,,-85.0
12.1265,,,,-86.0,
12.2177,-93.0,,,,
12.3281,,,,,-89.0
12.4112,-95.0,,,,
12.7358,,,,-79.0,
12.8137,-86.0,,,,
13.4959,,,-97.0,,
13.6451,-92.0,,,,
13.7008,,,-86.0,,
13.7617,,,,-88.0,
13.8586,-86.0,,,,
13.9129,,,-84.0,,
13.9651,,,,,-86.0
14.193,,,,,-89.0
14.239,,-99.0,,,
14.2732,-89.0,,,,
14.3239,,,-86.0,,
14.3956,,,,,-92.0
14.4047,,,,-79.0,
14.4642,-87.0,,,,
14.5586,,,-86.0,,
14.7238,,,-95.0,,
14.8053,,,,,-90.0
14.9978,,,,-88.0,
15.1395,,,-83.0,,
15.2017,,,,,-93.0
15.287,-87.0,,,,
15.487,-95.0,,,,
15.6221,,,,-78.0,
15.6612,,-97.0,,,
15.7484,,,-90.0,,
15.8414,,,,-86.0,
15.9549,,,-93.0,,
16.0158,,,,,-83.0
16.0236,,,,-85.0,
16.0877,-79.0,,,,
16.2288,,,,-79.0,
16.2951,-81.0,,,,
16.3666,,,-83.0,,
16.4308,,,,-77.0,
16.5741,,,-84.0,,
16.6574,,,,,-88.0
17.2457,,,,,-85.0
17.4412,,,,,-94.0
17.4476,,,,-80.0,
17.5286,-84.0,,,,
17.6022,,,-88.0,,
17.6448,,,,-89.0,
17.6484,,,,,-92.0
17.7996,,,-91.0,,
17.8404,,,,-78.0,
17.8475,,,,,-94.0
17.9226,-91.0,,,,
18.0249,,,-87.0,,
18.0534,,,,-79.0,
18.061,,,,,-88.0
18.1312,-81.0,,,,
18.2114,,,-91.0,,
18.2559,,,,-81.0,
18.4713,,,,-81.0,
18.4826,,,,,-86.0
18.8324,,,-88.0,,
18.878,,,,-78.0,
18.8892,,,,,-86.0
18.9478,-83.0,,,,
19.0229,,,-95.0,,
19.1641,-89.0,,,,
19.2261,,,-86.0,,
19.282,,,,-83.0,
19.2923,,,,,-91.0
19.5052,,,,-77.0,
19.5171,,,,,-91.0
19.5759,-86.0,,,,
19.6429,,,-96.0,,
19.7772,-86.0,,,,
19.8631,,,-92.0,,
19.905,,,,-81.0,
19.9132,,,,,-90.0
19.9891,-86.0,,,,
20.0454,,,-87.0,,
20.1012,,,,-81.0,
20.1185,,,,,-89.0
20.2058,-87.0,,,,
20.2562,,,-81.0,,
20.3047,,,,-85.0,
20.3997,-83.0,,,,
20.5248,,,,,-87.0
20.8051,-85.0,,,,
20.8834,,,-89.0,,
21.0103,-84.0,,,,
21.0878,,,-93.0,,
21.7237,,,,,-90.0
21.8346,-85.0,,,,
21.9429,,,,-92.0,
22.0368,-87.0,,,,
22.103,,,-88.0,,
22.5693,,,,,-91.0
22.5749,,,,-77.0,
22.6891,-83.0,,,,
22.7069,,,-85.0,,
22.7459,,,,,-90.0
22.7581,,,,-79.0,
22.8544,-91.0,,,,
22.9655,,,,-85.0,
23.0693,-86.0,,,,
23.1551,,,,,-88.0
23.1692,,,,-83.0,
23.2718,-87.0,,,,
23.3294,,,-84.0,,
23.3899,,,,-81.0,
23.4777,-93.0,,,,
23.5212,,,-84.0,,
23.6032,,,,-77.0,
23.6837,-92.0,,,,
23.7235,,,-92.0,,
23.7672,,,,,-93.0
23.8766,-91.0,,,,
23.9374,,,-87.0,,
23.9697,,,,,-87.0
23.9853,,,,-83.0,
24.1384,,,-89.0,,
24.1992,,,,,-86.0
24.2335,,,,-83.0,
24.2863,-92.0,,,,
24.3481,,,-86.0,,
24.4129,,,,-80.0,
24.6175,,,,,-98.0
25.0341,,,,,-97.0
25.528,-88.0,,,,
25.6391,,,,-85.0,
25.7185,-92.0,,,,
25.936,-84.0,,,,
26.0516,,,,-76.0,
26.1414,-86.0,,,,
26.1741,,,-82.0,,
26.2469,,,,,-89.0
26.2614,,,,-81.0,
26.4633,,,,-78.0,
26.6557,,,,,-85.0
26.8649,,,,,-88.0
26.9969,,,-88.0,,
27.0775,,,,,-89.0
27.1677,-87.0,,,,
27.1881,,,-86.0,,
27.275,,,,,-87.0
27.286,,,,-74.0,
27.4911,,,,-78.0,
27.578,-90.0,,,,
27.5913,,,-87.0,,
27.6778,,,,,-92.0
27.6827,,,,-79.0,
27.7859,-88.0,,,,
28.0166,,,-86.0,,
28.1196,,,,,-97.0
28.1245,,,,-74.0,
28.2966,,,,-74.0,
28.5012,,,,-73.0,
28.6173,,,-91.0,,
28.6274,-88.0,,,,
29.1259,,,,-81.0,
29.1352,,,,,-85.0
29.3171,,,,,-87.0
29.6527,,,-84.0,,
29.7225,,,,-76.0,
29.8414,,,-83.0,,
29.94,,,,-77.0,
30.1418,,,,-77.0,
30.2802,-89.0,,,,
30.3497,,,,-81.0,
30.4513,,,-85.0,,
30.4692,-90.0,,,,
30.5551,,,,,-87.0
30.5705,,,,-81.0,
30.6645,,,-85.0,,
30.7582,,,,-77.0,
30.8704,,,-87.0,,
31.1051,-88.0,,,,
31.1418,,,,,-91.0
31.1718,,,,-77.0,
31.2988,,,-96.0,,
31.3026,-91.0,,,,
31.3721,,,,-78.0,
31.5611,,,,,-89.0
31.7577,,,,,-89.0
31.7709,,,,-81.0,
32.0036,,,,-77.0,
