AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:82,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:82
3.942,,,-57.0,-58.0,-60.0,,,-57.0,-61.0,,-46.0,,,,,,2417.0,2452.0,2462.0,,,2427.0,2437.0,,2437.0,,,
7.9576,,,,,-59.0,-61.0,,-58.0,,,-46.0,-58.0,-62.0,,,,,,2462.0,2412.0,,2427.0,,,2437.0,2462.0,2437.0,
11.9458,,,-56.0,,-59.0,,,-54.0,-59.0,,-42.0,-58.0,,,,,2417.0,,2462.0,,,2427.0,2437.0,,2437.0,2462.0,,
15.9564,-60.0,,,-56.0,,-57.0,,-50.0,,,-46.0,,-60.0,,2437.0,,,2452.0,,2412.0,,2427.0,,,2437.0,,2437.0,
19.9367,,,-60.0,-63.0,,-63.0,,-54.0,,,-48.0,,-60.0,,,,2417.0,2452.0,,2412.0,,2427.0,,,2437.0,,2437.0,
23.9156,,,-60.0,-57.0,-61.0,,,-52.0,,,-44.0,,-59.0,,,,2417.0,2452.0,2462.0,,,2427.0,,,2437.0,,2437.0,
27.9574,-60.0,,,-59.0,-59.0,,,-56.0,,,-42.0,,-60.0,,2437.0,,,2452.0,2462.0,,,2427.0,,,2437.0,,2437.0,
31.949,-59.0,,-59.0,-57.0,,,,-59.0,,,-44.0,,-58.0,,2437.0,,2417.0,2452.0,,,,2427.0,,,2437.0,,2437.0,
35.9367,-61.0,,,-55.0,-61.0,,,-60.0,,,-44.0,,-57.0,,2437.0,,,2452.0,2462.0,,,2427.0,,,2437.0,,2437.0,
39.958,,,-61.0,-56.0,-59.0,,,-56.0,,,-54.0,,-57.0,,,,2417.0,2452.0,2462.0,,,2427.0,,,2437.0,,2437.0,
43.9378,,,-62.0,-55.0,-59.0,,,-57.0,,,-46.0,,-59.0,,,,2417.0,2452.0,2462.0,,,2427.0,,,2437.0,,2437.0,
47.9518,,,,-59.0,-57.0,,,-59.0,,,-47.0,-60.0,-59.0,,,,,2452.0,2462.0,,,2427.0,,,2437.0,2462.0,2437.0,
51.9251,,,-61.0,-58.0,-61.0,,,-60.0,,,-43.0,,-59.0,,,,2417.0,2452.0,2462.0,,,2427.0,,,2437.0,,2437.0,
55.973,,,,-54.0,-61.0,,,-56.0,,,-44.0,-61.0,-59.0,,,,,2452.0,2462.0,,,2427.0,,,2437.0,2462.0,2437.0,
59.961,,,-61.0,-58.0,,,,-56.0,,,-44.0,-62.0,-58.0,,,,2417.0,2452.0,,,,2427.0,,,2437.0,2462.0,2437.0,
63.9629,,,,-63.0,-63.0,,,-57.0,,,-48.0,-63.0,-59.0,,,,,2452.0,2462.0,,,2427.0,,,2437.0,2462.0,2437.0,
67.9386,,,-63.0,-61.0,,,,-59.0,-64.0,,-44.0,,-61.0,,,,2417.0,2452.0,,,,2427.0,2437.0,,2437.0,,2437.0,
71.9504,-58.0,,,-66.0,,-66.0,,-60.0,,,-44.0,,-53.0,,2437.0,,,2452.0,,2412.0,,2427.0,,,2437.0,,2437.0,
75.946,-58.0,,-64.0,,-68.0,,,,-66.0,,-48.0,,-54.0,,2437.0,,2417.0,,2462.0,,,,2437.0,,2437.0,,2437.0,
79.9537,-56.0,,,-62.0,-62.0,,,-62.0,,,-44.0,,-57.0,,2437.0,,,2452.0,2462.0,,,2427.0,,,2437.0,,2437.0,
83.9511,-53.0,-64.0,,,,,,-70.0,-72.0,,-50.0,,-60.0,,2437.0,5200.0,,,,,,2427.0,2437.0,,2437.0,,2437.0,
87.9597,-52.0,-60.0,,,,,,-74.0,-79.0,,-61.0,,-65.0,,2437.0,5200.0,,,,,,2427.0,2437.0,,2437.0,,2437.0,
91.9236,-49.0,-60.0,,-78.0,,,,-74.0,,,-57.0,,-65.0,,2437.0,5200.0,,2452.0,,,,2427.0,,,2437.0,,2437.0,
95.953,-45.0,-61.0,-74.0,,,,,-67.0,,,-56.0,,-63.0,,2437.0,5200.0,2417.0,,,,,2427.0,,,2437.0,,2437.0,
99.9605,-53.0,-57.0,,-73.0,,,,,,,-57.0,-75.0,-55.0,,2437.0,5200.0,,2452.0,,,,,,,2437.0,2462.0,2437.0,
103.9469,-59.0,-64.0,,-71.0,,,,-67.0,,,-53.0,,-47.0,,2437.0,5200.0,,2452.0,,,,2427.0,,,2437.0,,2437.0,
107.9451,-60.0,-73.0,,,,,,-65.0,,,-51.0,-75.0,-50.0,,2437.0,5200.0,,,,,,2427.0,,,2437.0,2462.0,2437.0,
111.9531,-58.0,-70.0,-64.0,,,,,-66.0,,,-57.0,,-53.0,,2437.0,5200.0,2417.0,,,,,2427.0,,,2437.0,,2437.0,
115.9516,-62.0,,,,,,,-74.0,-75.0,,-54.0,,-61.0,-72.0,2437.0,,,,,,,2427.0,2437.0,,2437.0,,2437.0,2462.0
119.9221,-67.0,,,,,,,-75.0,-72.0,-77.0,-65.0,,-65.0,,2437.0,,,,,,,2427.0,2437.0,2422.0,2437.0,,2437.0,
123.9529,-68.0,,,,,,,-74.0,-68.0,,-63.0,,-66.0,-74.0,2437.0,,,,,,,2427.0,2437.0,,2437.0,,2437.0,2462.0
127.9563,-65.0,,,-77.0,,,,-75.0,-70.0,,-67.0,,-63.0,,2437.0,,,2452.0,,,,2427.0,2437.0,,2437.0,,2437.0,
131.9598,-62.0,,,-70.0,,,,,-69.0,,-54.0,-71.0,-61.0,,2437.0,,,2452.0,,,,,2437.0,,2437.0,2462.0,2437.0,
135.5082,-61.0,,-62.0,,,,,-59.0,,,-46.0,-63.0,-57.0,,2437.0,,2417.0,,,,,2427.0,,,2437.0,2462.0,2437.0,
139.947,-60.0,,-55.0,,,,,-64.0,,,-46.0,-67.0,-54.0,,2437.0,,2417.0,,,,,2427.0,,,2437.0,2462.0,2437.0,
143.9292,-60.0,-66.0,-59.0,,,,,-62.0,,,-47.0,,-51.0,,2437.0,5200.0,2417.0,,,,,2427.0,,,2437.0,,2437.0,
147.9476,-59.0,,-64.0,,,,,-67.0,-65.0,,-53.0,,-52.0,,2437.0,,2417.0,,,,,2427.0,2437.0,,2437.0,,2437.0,
151.9646,-56.0,,-64.0,-65.0,,,,-67.0,,,-51.0,,-54.0,,2437.0,,2417.0,2452.0,,,,2427.0,,,2437.0,,2437.0,
155.9191,-58.0,,-64.0,,,,,-65.0,-65.0,,-51.0,,-53.0,,2437.0,,2417.0,,,,,2427.0,2437.0,,2437.0,,2437.0,
159.9506,-57.0,-65.0,,,,,,-62.0,,,-51.0,-66.0,-55.0,,2437.0,5200.0,,,,,,2427.0,,,2437.0,2462.0,2437.0,
