wifi_rssi_columns,wifi_freq_columns
wifi_rssi_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:01
wifi_rssi_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:09
wifi_rssi_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:12
wifi_rssi_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:15
wifi_rssi_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:24
wifi_rssi_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:25
wifi_rssi_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:44
wifi_rssi_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:45
wifi_rssi_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:46
wifi_rssi_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:55
wifi_rssi_20:23:00:00:00:57,wifi_freq_20:23:00:00:00:57
wifi_rssi_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:65
wifi_rssi_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:69
wifi_rssi_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:73
wifi_rssi_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:79
wifi_rssi_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:80
wifi_rssi_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:82
wifi_rssi_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:88
wifi_rssi_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:89
wifi_rssi_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:90
wifi_rssi_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:96
wifi_rssi_20:23:00:00:01:10,wifi_freq_20:23:00:00:01:10
wifi_rssi_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:15
wifi_rssi_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:16
wifi_rssi_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:18
wifi_rssi_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:19
wifi_rssi_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:20
wifi_rssi_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:21
wifi_rssi_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:27
wifi_rssi_20:23:00:00:01:38,wifi_freq_20:23:00:00:01:38
wifi_rssi_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:47
wifi_rssi_20:23:00:00:01:54,wifi_freq_20:23:00:00:01:54
wifi_rssi_20:23:00:00:01:58,wifi_freq_20:23:00:00:01:58
wifi_rssi_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:59
wifi_rssi_20:23:00:00:01:60,wifi_freq_20:23:00:00:01:60
wifi_rssi_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:62
wifi_rssi_20:23:00:00:01:64,wifi_freq_20:23:00:00:01:64
wifi_rssi_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:71
wifi_rssi_20:23:00:00:01:72,wifi_freq_20:23:00:00:01:72
wifi_rssi_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:74
wifi_rssi_20:23:00:00:01:75,wifi_freq_20:23:00:00:01:75
wifi_rssi_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:81
wifi_rssi_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:82
wifi_rssi_20:23:00:00:01:84,wifi_freq_20:23:00:00:01:84
wifi_rssi_20:23:00:00:01:86,wifi_freq_20:23:00:00:01:86
wifi_rssi_20:23:00:00:01:87,wifi_freq_20:23:00:00:01:87
wifi_rssi_20:23:00:00:01:88,wifi_freq_20:23:00:00:01:88
wifi_rssi_20:23:00:00:01:89,wifi_freq_20:23:00:00:01:89
wifi_rssi_20:23:00:00:01:91,wifi_freq_20:23:00:00:01:91
wifi_rssi_20:23:00:00:01:92,wifi_freq_20:23:00:00:01:92
wifi_rssi_20:23:00:00:01:93,wifi_freq_20:23:00:00:01:93
wifi_rssi_20:23:00:00:01:94,wifi_freq_20:23:00:00:01:94
wifi_rssi_20:23:00:00:01:96,wifi_freq_20:23:00:00:01:96
wifi_rssi_20:23:00:00:01:98,wifi_freq_20:23:00:00:01:98
wifi_rssi_20:23:00:00:02:01,wifi_freq_20:23:00:00:02:01
wifi_rssi_20:23:00:00:02:54,wifi_freq_20:23:00:00:02:54
wifi_rssi_20:23:00:00:03:16,wifi_freq_20:23:00:00:03:16
wifi_rssi_20:23:00:00:03:21,wifi_freq_20:23:00:00:03:21
wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:03:25
wifi_rssi_20:23:00:00:03:27,wifi_freq_20:23:00:00:03:27
