AppTimestamp(s),ble_rssi_BE:AC:20:23:00:03,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:05,ble_rssi_BE:AC:20:23:00:06
72.1172,,,,-97.0
72.9385,,,,-98.0
73.5403,,,,-97.0
74.3579,,,,-94.0
74.5583,,,,-90.0
75.7896,,,,-95.0
75.9871,,,,-96.0
76.5842,,,,-97.0
77.0266,,,,-96.0
77.2026,,,,-85.0
77.8134,,,,-92.0
78.8722,,,,-101.0
79.2618,,,,-92.0
79.8796,,,,-91.0
80.0571,,,,-89.0
80.4591,,,,-88.0
80.6623,,,,-92.0
80.863,,,,-87.0
81.0705,,,,-90.0
81.9082,,,,-85.0
85.1834,,,,-81.0
85.2472,-96.0,,,
86.6214,,,,-89.0
86.8274,,,,-83.0
87.4464,,,,-79.0
87.6442,,,,-94.0
87.8108,,-97.0,,
87.8544,,,,-79.0
87.8981,-91.0,,,
88.0531,,,,-84.0
88.2639,,,,-84.0
88.4696,,,,-77.0
88.5371,-92.0,,,
88.731,,,,-85.0
88.7448,-96.0,,,
88.8799,,,,-74.0
89.0906,,,,-81.0
89.73,,,,-74.0
90.3273,,,,-83.0
90.3718,-97.0,,,
90.5245,,,,-89.0
90.9333,,,,-78.0
91.1525,,,,-71.0
91.3735,,,,-77.0
91.5667,,,,-78.0
91.6255,-96.0,,,
91.9692,,,,-90.0
91.9984,-97.0,,,
92.1773,,,,-78.0
92.3785,,,,-77.0
92.4956,,-95.0,,
92.6134,,,,-80.0
92.6309,-92.0,,,
92.7775,,,,-78.0
92.817,-93.0,,,
93.0286,,,,-86.0
93.4314,,,,-74.0
94.0109,,,,-80.0
94.6168,,,,-83.0
94.6629,-93.0,,,
95.0262,,,,-84.0
95.1072,-98.0,,,
95.4366,,,,-91.0
96.1245,-94.0,,,
96.2479,,,,-89.0
96.4621,,,,-85.0
96.5072,-91.0,,,
96.88,,,,-81.0
96.9298,-86.0,,,
97.067,,,,-90.0
97.827,,-92.0,,
97.8852,,,,-84.0
98.4526,,-93.0,,
98.5739,-94.0,,,
99.9696,,,,-91.0
100.3806,,,,-90.0
100.5591,,,,-88.0
101.7245,,-91.0,,
102.0677,-84.0,,,
102.9364,-84.0,,,
103.5023,-81.0,,,
103.7035,-77.0,,,
103.9143,-80.0,,,
103.9869,,-89.0,,
104.3242,-73.0,,,
104.5927,,-93.0,,
104.7338,-77.0,,,
105.1404,-81.0,,,
105.3582,-77.0,,,
105.8889,,,,-91.0
105.9386,-90.0,,,
106.3305,,,,-91.0
106.6466,,-93.0,,
106.6958,,,,-95.0
106.7665,-91.0,,,
106.9003,,,,-86.0
107.0809,,-92.0,,
107.1144,,,,-91.0
107.165,-86.0,,,
107.3735,-84.0,,,
107.4671,,-95.0,,
107.5764,-84.0,,,
107.7198,,,,-92.0
107.7791,-92.0,,,
107.9527,,,,-89.0
107.9821,-87.0,,,
108.0917,,-92.0,,
108.1228,,,,-91.0
108.1803,-87.0,,,
108.2927,,-95.0,,
108.3899,-86.0,,,
108.4961,,-93.0,,
108.5841,-87.0,,,
108.7012,,-96.0,,
108.7952,-79.0,,,
109.0021,-79.0,,,
110.347,,-96.0,,
110.4537,-85.0,,,
110.6435,-81.0,,,
110.7658,,-97.0,,
110.8547,-81.0,,,
111.0837,-84.0,,,
111.2482,-83.0,,,
111.455,-83.0,,,
111.619,,,,-96.0
111.8698,-82.0,,,
111.9971,,-97.0,,
112.0595,-86.0,,,
112.2006,,-94.0,,
112.2812,-92.0,,,
112.4204,,,,-96.0
112.4788,-86.0,,,
112.6786,,,,-92.0
112.7284,-87.0,,,
114.3102,-86.0,,,
114.4557,,-93.0,,
114.4972,,,-98.0,
114.5129,-87.0,,,
114.6253,,-94.0,,
114.7226,-78.0,,,
114.9362,-78.0,,,
115.4824,,-92.0,,
115.531,,,,-98.0
115.5679,-86.0,,,
115.6564,,-94.0,,
115.7393,-87.0,,,
116.1124,,,,-96.0
116.3731,-90.0,,,
116.4826,,-91.0,,
116.5598,-86.0,,,
116.7112,,-91.0,,
116.7261,,,-95.0,
116.9269,,,,-94.0
116.9634,-79.0,,,
117.1638,-77.0,,,
