AppTimestamp(s),SensorTimestamp(s),gyro_x,gyro_y,gyro_z
0.0434,67164.1565,-0.13806,-0.11118,-0.0391
0.0444,67164.1674,-0.27794,-0.13928,-0.02077
0.0459,67164.1775,-0.31215,-0.16982,-0.02443
0.0469,67164.1874,-0.28161,-0.19792,-0.011
0.0482,67164.1975,-0.23396,-0.24374,-0.00916
0.0497,67164.2075,-0.14844,-0.28588,-0.02199
0.056,67164.2175,-0.08002,-0.30727,-0.03543
0.0674,67164.2274,-0.01588,-0.33598,-0.0562
0.0854,67164.2374,0.02505,-0.35613,-0.07758
0.0866,67164.2474,0.06842,-0.44227,-0.09774
0.1197,67164.2575,0.10201,-0.52595,-0.10324
0.1207,67164.2675,0.14661,-0.48991,-0.0562
0.1227,67164.2775,0.15699,-0.4667,0.02199
0.129,67164.2875,0.14844,-0.51252,0.11851
0.1344,67164.2974,0.13378,-0.57116,0.18326
0.1473,67164.3074,0.22907,-0.55039,0.21258
0.1544,67164.3175,0.28711,-0.6182,0.23579
0.1661,67164.3274,0.27672,-0.65118,0.19364
0.1742,67164.3373,0.28772,-0.52657,0.21502
0.1872,67164.3485,0.35736,-0.38485,0.34147
0.196,67164.3585,0.44593,-0.30482,0.43188
0.2072,67164.3685,0.57482,-0.17776,0.48503
0.2155,67164.3785,0.67806,-0.01772,0.47037
0.2284,67164.3884,0.70127,0.0507,0.41783
0.2353,67164.3984,0.68356,0.18082,0.40806
0.2473,67164.4084,0.59926,0.48564,0.45082
0.2554,67164.4185,0.65363,0.74953,0.51374
0.2688,67164.4285,0.7367,0.67562,0.61514
0.2779,67164.4385,0.80512,0.54795,0.64385
0.2881,67164.4484,0.97128,0.81551,0.6915
0.2957,67164.4584,0.98533,0.99449,0.74342
0.3079,67164.4684,0.90347,0.87415,0.76419
0.3158,67164.4785,0.73609,0.89614,0.70494
0.3297,67164.4885,0.50702,1.12644,0.65607
0.3374,67164.4985,0.29322,1.30298,0.6805
0.3509,67164.5084,0.07025,1.34268,0.79779
0.3591,67164.5184,0.03238,1.13987,0.86926
0.3702,67164.5294,0.12217,1.1075,0.76419
0.3784,67164.5405,0.15516,1.31214,0.65118
0.3934,67164.5505,0.12767,1.57298,0.57238
0.404,67164.5604,0.06781,1.83993,0.54917
0.4104,67164.5704,-0.06231,2.2321,0.56566
0.4178,67164.5805,-0.20708,2.53265,0.57421
0.4312,67164.5905,-0.49052,2.83503,0.5962
0.4385,67164.6005,-0.80207,2.82892,0.60231
0.4506,67164.6105,-1.14843,2.57602,0.60964
0.4578,67164.6204,-1.33718,2.40681,0.63652
0.4709,67164.6304,-1.4282,2.23577,0.67562
0.4782,67164.6405,-1.37261,2.01463,0.65607
0.4953,67164.6505,-1.23089,1.77029,0.60353
0.4987,67164.6605,-1.08978,1.53388,0.56627
0.513,67164.6705,-0.9615,1.26938,0.57238
0.5199,67164.6804,-0.84544,1.01098,0.62736
0.542,67164.6915,-0.75014,0.76847,0.72632
0.5472,67164.7015,-0.70677,0.63774,0.81184
0.5543,67164.7114,-0.66706,0.44349,0.90591
0.5615,67164.7214,-0.61942,0.3146,0.95539
0.5711,67164.7315,-0.54184,0.19975,0.9841
0.5787,67164.7415,-0.46914,0.13622,0.93951
0.5917,67164.7515,-0.50335,0.10629,0.76786
0.5988,67164.7615,-0.68356,0.12523,0.50396
0.6109,67164.7714,-1.02381,0.17715,0.19181
0.6187,67164.7814,-1.36712,0.24129,-0.00428
0.6338,67164.7915,-1.66827,0.30238,-0.08063
0.6403,67164.8015,-1.77334,0.23824,-0.0562
0.6527,67164.8115,-1.73364,-0.1014,-0.00367
0.6591,67164.8215,-1.54732,-0.50213,0.03482
0.7026,67164.8314,-1.23883,-0.95906,0.04581
0.7047,67164.8414,-1.00304,-1.15209,0.00489
0.7124,67164.8515,-0.76053,-1.08429,-0.10201
0.7143,67164.8615,-0.63163,-0.91935,-0.23885
0.7154,67164.8715,-0.58704,-0.79901,-0.44593
0.7219,67164.8815,-0.55467,-0.74587,-0.60109
0.7378,67164.8914,-0.44043,-0.78863,-0.76786
0.7408,67164.9014,-0.24618,-0.89736,-0.86926
0.7504,67164.9114,0.01955,-1.03481,-0.90103
