AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z
0.0428,17018.2505,-2.31766,6.71115,6.76861
0.0447,17018.2705,-2.44695,6.8572,6.83565
0.0462,17018.2905,-2.23865,6.75425,7.39113
0.0731,17018.3105,-2.31526,6.8165,7.61379
0.1236,17018.3305,-2.08302,6.82129,8.16448
0.1256,17018.3505,-1.40783,6.78537,9.35204
0.1316,17018.3705,-1.36953,6.51243,8.81572
0.1472,17018.3905,-1.96091,6.54834,7.56112
0.1587,17018.4105,-1.99443,7.22113,6.23709
0.1839,17018.4305,-0.68237,6.54595,4.38152
0.1983,17018.4505,1.16362,6.0647,6.18681
0.2182,17018.4704,2.69116,5.5188,8.28898
0.24,17018.4904,2.54511,5.70795,7.98491
0.268,17018.5104,2.68877,5.62176,6.6489
0.2844,17018.5304,3.02876,5.30332,5.7295
0.2999,17018.5504,2.9258,5.23867,4.7263
0.3223,17018.5704,3.03594,5.94259,4.72151
0.3439,17018.5904,0.30647,7.94181,5.62415
0.371,17018.6104,-0.36632,7.26662,6.45257
0.3884,17018.6304,0.14366,6.76861,7.30014
0.3985,17018.6504,1.05109,6.60341,7.42943
0.4234,17018.6704,1.40305,6.40947,6.50524
0.4424,17018.6904,0.9218,6.03836,6.7758
0.4579,17018.7104,0.65843,5.48768,7.92266
0.4835,17018.7304,1.00081,5.31529,9.21317
0.5042,17018.7504,1.47966,5.39191,8.9929
0.5293,17018.7704,1.1708,5.45176,7.19719
0.5444,17018.7904,1.05827,5.14051,5.79175
0.5615,17018.8104,1.38868,4.80052,6.38314
0.5872,17018.8304,2.0064,4.33603,8.76305
0.6006,17018.8504,3.32565,4.37913,8.92346
0.6184,17018.8704,3.66085,4.28815,7.62816
0.6393,17018.8903,3.33762,4.0583,8.22673
0.6611,17018.9103,3.61775,3.9314,9.14613
0.6851,17018.9303,3.93619,3.91703,9.42147
0.7051,17018.9503,3.85718,4.04872,8.87079
0.7235,17018.9703,3.86915,4.3504,8.66727
0.7402,17018.9903,4.17562,4.63292,9.53879
0.764,17019.0103,5.27219,5.1453,10.35763
0.7801,17019.0303,6.0216,5.59303,9.61541
0.8052,17019.0503,5.74387,5.66485,8.97374
0.8182,17019.0703,5.21712,5.57627,9.51006
0.8407,17019.0903,4.76461,5.39909,9.89075
0.8626,17019.1103,4.34082,5.42543,8.86839
0.8877,17019.1304,4.59222,5.45176,6.58426
0.9107,17019.1504,4.93699,5.50444,5.59781
0.921,17019.1704,4.71672,5.23149,5.97372
0.943,17019.1904,4.26181,4.8939,6.78537
0.9716,17019.2105,3.58423,4.50842,6.74228
0.9914,17019.2305,2.68159,4.25223,5.61218
1.0065,17019.2505,1.73345,4.12534,3.94337
1.0227,17019.2706,1.19953,3.61536,2.2147
1.0486,17019.2906,0.0431,2.72229,1.04151
1.0678,17019.3106,-1.24023,1.64487,0.48604
1.0944,17019.3306,-1.88429,0.47167,0.08141
1.1051,17019.3507,-1.1277,-0.90504,-0.88109
1.1212,17019.3707,2.07823,-1.97767,-2.09499
1.141,17019.3907,4.73348,-2.89228,-3.98647
1.1626,17019.4108,5.59542,-3.82126,-4.8508
1.186,17019.4308,5.91146,-4.67841,-3.77817
1.2023,17019.4508,6.13413,-6.00963,-3.93619
1.2234,17019.4708,6.35441,-7.59225,-5.07107
1.2551,17019.4909,6.95297,-9.18923,-5.96653
1.2782,17019.5109,8.42545,-10.36482,-5.49247
1.2857,17019.5309,9.73512,-11.24351,-5.93062
1.3092,17019.551,10.98014,-11.76307,-6.51003
1.3293,17019.571,11.75828,-12.0025,-5.89231
1.3383,17019.591,12.297,-12.61783,-5.11178
