AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ble_rssi_BE:AC:20:23:00:01,ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:04,wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:91,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:07,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:38,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:91,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:07,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:38,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:25,Latitude_degrees,Longitude_degrees,floor_ID
0.0428,17018.2505,-2.31766,6.71115,6.76861,0.00241,-0.40281,-0.14722,-14.6,-12.7,-38.5,-110.0,-84.0,-110.0,-90.0,-110.0,-57.0,-84.0,-85.0,-110.0,-89.0,-78.0,-82.0,-74.0,-86.0,-88.0,-86.0,-110.0,-88.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-82.0,-110.0,2437.0,-1.0,2417.0,2452.0,2462.0,-1.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,-1.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2462.0,-1.0,49.461282667648,11.111404024309,-2.0
0.0447,17018.2705,-2.44695,6.8572,6.83565,-0.27431,-0.62822,-0.03115,-14.7,-12.8,-38.7,-110.0,-84.0,-110.0,-90.0,-110.0,-57.0,-84.0,-85.0,-110.0,-89.0,-78.0,-82.0,-74.0,-86.0,-88.0,-86.0,-110.0,-88.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-82.0,-110.0,2437.0,-1.0,2417.0,2452.0,2462.0,-1.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,-1.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2462.0,-1.0,49.461282667648,11.111404024309,-2.0
0.0462,17018.2905,-2.23865,6.75425,7.39113,-0.19796,-1.03811,-0.08247,-14.5,-13.0,-38.4,-110.0,-84.0,-110.0,-90.0,-110.0,-57.0,-84.0,-85.0,-110.0,-89.0,-78.0,-82.0,-74.0,-86.0,-88.0,-86.0,-110.0,-88.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-82.0,-110.0,2437.0,-1.0,2417.0,2452.0,2462.0,-1.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,-1.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2462.0,-1.0,49.461282667648,11.111404024309,-2.0
0.0731,17018.3105,-2.31526,6.8165,7.61379,0.03784,-1.64348,-0.04765,-14.3,-13.2,-38.4,-110.0,-84.0,-110.0,-90.0,-110.0,-57.0,-84.0,-85.0,-110.0,-89.0,-78.0,-82.0,-74.0,-86.0,-88.0,-86.0,-110.0,-88.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-82.0,-110.0,2437.0,-1.0,2417.0,2452.0,2462.0,-1.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,-1.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2462.0,-1.0,49.461282667648,11.111404024309,-2.0
0.1236,17018.3305,-2.08302,6.82129,8.16448,0.13008,-2.12851,0.05009,-14.3,-13.3,-38.2,-110.0,-84.0,-110.0,-90.0,-110.0,-57.0,-84.0,-85.0,-110.0,-89.0,-78.0,-82.0,-74.0,-86.0,-88.0,-86.0,-110.0,-88.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-82.0,-110.0,2437.0,-1.0,2417.0,2452.0,2462.0,-1.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,-1.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2462.0,-1.0,49.461282667648,11.111404024309,-2.0
0.1256,17018.3505,-1.40783,6.78537,9.35204,0.76965,-2.06864,0.0336,-14.5,-13.5,-38.1,-110.0,-84.0,-110.0,-90.0,-110.0,-57.0,-84.0,-85.0,-110.0,-89.0,-78.0,-82.0,-74.0,-86.0,-88.0,-86.0,-110.0,-88.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-82.0,-110.0,2437.0,-1.0,2417.0,2452.0,2462.0,-1.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,-1.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2462.0,-1.0,49.461282667648,11.111404024309,-2.0
0.1316,17018.3705,-1.36953,6.51243,8.81572,1.4074,-1.58239,-0.05742,-14.6,-13.7,-37.8,-110.0,-84.0,-110.0,-90.0,-110.0,-57.0,-84.0,-85.0,-110.0,-89.0,-78.0,-82.0,-74.0,-86.0,-88.0,-86.0,-110.0,-88.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-82.0,-110.0,2437.0,-1.0,2417.0,2452.0,2462.0,-1.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,-1.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2462.0,-1.0,49.461282667648,11.111404024309,-2.0
0.1472,17018.3905,-1.96091,6.54834,7.56112,1.025,-2.30566,0.34636,-15.0,-14.5,-36.3,-110.0,-84.0,-110.0,-90.0,-110.0,-57.0,-84.0,-85.0,-110.0,-89.0,-78.0,-82.0,-74.0,-86.0,-88.0,-86.0,-110.0,-88.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-82.0,-110.0,2437.0,-1.0,2417.0,2452.0,2462.0,-1.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,-1.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2462.0,-1.0,49.461282667648,11.111404024309,-2.0
0.1587,17018.4105,-1.99443,7.22113,6.23709,0.43857,-3.23662,0.92607,-16.4,-15.2,-33.9,-110.0,-84.0,-110.0,-90.0,-110.0,-57.0,-84.0,-85.0,-110.0,-89.0,-78.0,-82.0,-74.0,-86.0,-88.0,-86.0,-110.0,-88.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-82.0,-110.0,2437.0,-1.0,2417.0,2452.0,2462.0,-1.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,-1.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2462.0,-1.0,49.461282667648,11.111404024309,-2.0
0.1839,17018.4305,-0.68237,6.54595,4.38152,-1.47955,-2.426,2.40131,-18.3,-15.2,-32.3,-110.0,-84.0,-110.0,-90.0,-110.0,-57.0,-84.0,-85.0,-110.0,-89.0,-78.0,-82.0,-74.0,-86.0,-88.0,-86.0,-110.0,-88.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-82.0,-110.0,2437.0,-1.0,2417.0,2452.0,2462.0,-1.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,-1.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2462.0,-1.0,49.461282667648,11.111404024309,-2.0
