AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,yaw_deg_ori,yaw_deg_ori_cal,yaw_deg,yaw_error,Quat_w,Quat_x,Quat_y,Quat_z,q_w,q_x,q_y,q_z,quat_angle_error_deg
0.0428,17018.2505,-0.13285718991774598,0.6581338722711543,-0.01714032447270597,-0.19479831110546902,-0.07439895983320113,-0.38448229102538384,-0.22304608465591969,26.886650846084027,-33.67655455169883,-59.951309,-45.81327256454254,0.0,59.95130900000001,0.8242641228975697,0.36465499,-0.080636,-0.425574,1.0,0.0,0.0,0.0,68.97208910478356
0.0447,17018.2705,-0.2826028132583822,0.49672943148478943,0.3004766799061258,-0.4249822746324531,-0.24772989712273286,-0.636591553215216,0.04124466492777934,26.571742178114114,-34.00834004833001,-60.10038,-46.16494545212566,0.0,60.10038,0.823665571727992,0.362185,-0.083619,-0.428258,1.0,0.0,0.0,0.0,69.09313390206124
0.0462,17018.2905,-0.4200644926648387,0.39275967722567806,0.6004278730886874,-0.6326039016399803,-0.4637024617261113,-0.8825085407321068,0.2818775908836102,26.02520498012034,-34.465790787667025,-60.08815,-46.606422671648055,0.0,60.08815,0.8237957801669173,0.357234,-0.087846,-0.43130901,1.0,0.0,0.0,0.0,69.06681771007456
0.0731,17018.3105,-0.5823785216790656,0.3388506336108086,0.8500789567214699,-0.8043135633081037,-0.7305569066515806,-1.1028240819365884,0.7950452482678116,25.291114521271954,-34.94986843797379,-60.218021,-47.27224809305491,0.0,60.21802099999999,0.8226530051799239,0.351466,-0.096401,-0.43637201,1.0,0.0,0.0,0.0,69.29748321882754
0.1236,17018.3305,-0.7583970497750858,0.3877176439651806,0.9872728583856993,-0.9577716253682027,-1.0256187396025944,-1.2577293999800057,1.5340724657281406,24.309587275726127,-35.42646768949356,-60.297329,-48.06514534878962,0.0,60.29732899999999,0.8205349565424498,0.34460899,-0.110288,-0.44249699,1.0,0.0,0.0,0.0,69.72323828116085
0.1256,17018.3505,-0.8820905267631911,0.5470933602830172,0.9394176743699507,-1.1497415408060598,-1.2915434714330423,-1.3121179316536697,2.2793451333934183,23.194250006683404,-35.74244069963464,-60.288708,-48.92183349054264,0.0,60.288708,0.8175359753196307,0.33739099,-0.12797,-0.448805,1.0,0.0,0.0,0.0,70.32221862930594
0.1316,17018.3705,-0.93361019956322,0.6239268473659849,0.6763524273855417,-1.4355131013789468,-1.442048991849775,-1.284151864194487,2.893933468636691,22.602367361881665,-35.452521781460845,-60.420025,-49.38915739917946,0.0,60.42002500000001,0.812190038799233,0.33720201,-0.14597601,-0.45313701,1.0,0.0,0.0,0.0,71.37908131266265
0.1472,17018.3905,-0.8391929977693025,0.5598809154884374,0.25332132879629654,-1.82582820818909,-1.4320984099148983,-1.1823933667991762,3.107231328636013,22.500999240156798,-34.66257827965285,-60.556347,-49.56073116696975,0.0,60.556347,0.8060174005703225,0.34086999,-0.16254801,-0.45576501,1.0,0.0,0.0,0.0,72.58274826568987
0.1587,17018.4105,-0.640339748595868,0.47742327397576667,-0.21718857917004186,-2.225366049230504,-1.2685315686336098,-0.995789094079403,3.17184854740794,22.02153397027992,-34.05406952542902,-60.038845,-50.230421198160066,0.0,60.03884500000001,0.8013677797097908,0.33546501,-0.185036,-0.45938501,1.0,0.0,0.0,0.0,73.47817016971882
0.1839,17018.4305,-0.4455340391132765,0.29937263941242653,-0.5828877716029268,-2.417489630065682,-1.0407050579776649,-0.767567906964412,2.853241543614704,21.1530067027416,-33.861562415415875,-57.932949,-50.730908103318086,0.0,57.93294900000001,0.8022132582394532,0.31924701,-0.211061,-0.45824501,1.0,0.0,0.0,0.0,73.31604849457834
