AppTimestamp(s),ble_rssi_BE:AC:20:23:00:01,ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:04
0.0558,,-84.0,
0.5564,,,-97.0
0.851,,-86.0,
0.9673,,,-100.0
1.0868,,-74.0,
1.2751,,-82.0,
1.6753,,-79.0,
2.7095,,-73.0,
2.9238,,-84.0,
3.1183,,-86.0,
3.3331,,-83.0,
4.7774,,-80.0,
4.955,,-93.0,
5.1728,,-80.0,
6.8294,,-86.0,
7.0165,,-77.0,
7.2569,,-76.0,
8.6632,,-80.0,
8.7704,,,-97.0
8.8596,,-81.0,
9.0604,,-91.0,
10.7118,,-77.0,
10.9144,,-88.0,
11.1354,,-87.0,
11.3502,,-89.0,
12.7669,,-76.0,
13.1769,,-88.0,
14.8016,,-88.0,
15.0018,,-86.0,
17.2476,,-81.0,
18.6663,,-78.0,
18.8787,,-82.0,
19.0854,,-79.0,
19.284,,-84.0,
20.9391,,-99.0,
21.1119,,-74.0,
22.7573,,-80.0,
22.9367,,-81.0,
23.1449,,-74.0,
24.8045,,-79.0,
25.0034,,-76.0,
25.2347,,-80.0,
26.6664,,-74.0,
26.8425,,-73.0,
27.0597,,-77.0,
28.6939,,-73.0,
28.7939,,,-98.0
28.9153,,-80.0,
29.3108,,-75.0,
30.1111,,-76.0,
30.7267,,-76.0,
30.9294,,-81.0,
31.1677,,-86.0,
32.7114,,,-94.0
32.7599,,-73.0,
32.9656,,-76.0,
33.1827,,-74.0,
34.8016,,-78.0,
35.1585,,,-98.0
35.2106,,-79.0,
36.0311,,-77.0,
36.8397,,-77.0,
37.0565,,-76.0,
37.2348,,,-98.0
37.27,,-83.0,
37.6673,,-81.0,
38.6549,,,-101.0
38.6988,,-82.0,
38.9188,,-75.0,
39.1219,,-81.0,
39.304,,-77.0,
40.1245,,-82.0,
40.7229,,,-101.0
40.7392,,-74.0,
40.9008,,,-96.0
40.9448,,-74.0,
41.1314,,-76.0,
42.7686,,,-95.0
42.7807,,-76.0,
42.9675,,,-97.0
42.9828,,-88.0,
43.1731,,-76.0,
44.8643,,-82.0,
45.0366,,-74.0,
46.8953,,-78.0,
47.1194,,-82.0,
47.3031,,-83.0,
