AppTimestamp(s),Latitude_degrees,Longitude_degrees
61.2216,49.46120027,11.11096477
74.569,49.46114191,11.11094303
103.7967,49.46114191,11.11094303
110.786,49.46113158,11.11100646
123.1803,49.46113158,11.11100646
133.94,49.46114191,11.11094303
162.9034,49.46114191,11.11094303
172.1405,49.46120027,11.11096477
191.2823,49.46120027,11.11096477
205.3558,49.46114191,11.11094303
234.243,49.46114191,11.11094303
240.9052,49.46113158,11.11100646
261.6265,49.46113158,11.11100646
273.1957,49.46114191,11.11094303
301.0117,49.46114191,11.11094303
309.4693,49.46120027,11.11096477
