AppTimestamp(s),ble_rssi_BE:AC:20:23:00:01,ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:03,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:05,ble_rssi_BE:AC:20:23:00:06
0.3407,,,,,-84.0,
0.4555,,,-95.0,,,
1.1478,,,,,-82.0,
1.3642,,,-92.0,,,
1.576,,,,,-80.0,
1.6758,-90.0,,,,,
1.9766,,,,,-85.0,
2.082,-86.0,,,,,
2.1577,,,,,-91.0,
2.3037,-84.0,,,,,
2.5762,,,,,-88.0,
2.69,-86.0,,,,,
2.9399,,,-98.0,,,
2.9771,,,,,-92.0,
3.0909,-87.0,,,,,
3.5064,-88.0,,,,,
4.3214,-90.0,,,,,
4.5099,-88.0,,,,,
4.8384,,,,,-84.0,
5.0348,,,,,-90.0,
5.2466,,,,,-81.0,
5.3452,-93.0,,,,,
5.4484,,,,,-89.0,
5.7683,-87.0,,,,,
5.9655,-91.0,,,,,
6.1633,-95.0,,,,,
6.3799,-96.0,,,,,
6.481,,,,,-91.0,
6.8809,,,,,-88.0,
7.0866,,,,,-82.0,
7.1861,-90.0,,,,,
8.3509,,,,,-92.0,
8.8328,-86.0,,,,,
8.9713,,,,,-79.0,
9.0325,-95.0,,,,,
9.3713,,,,,-81.0,
9.433,-96.0,,,,,
10.2479,-84.0,,,,,
10.3817,,,,,-83.0,
10.6148,,,,,-89.0,
10.803,,,,,-84.0,
11.0153,,,,,-85.0,
11.0762,-85.0,,,,,
11.2115,,,,,-87.0,
11.3179,,,-93.0,,,
11.8252,,,,,-81.0,
11.9083,-90.0,,,,,
12.334,-84.0,,,,,
12.8606,,,,,-83.0,
12.9291,-93.0,,,,,
12.9678,,,-95.0,,,
13.0418,,,,,-85.0,
13.1131,-89.0,,,,,
13.3204,-85.0,,,,,
13.4755,,,,,-89.0,
13.5383,-82.0,,,,,
13.6686,,,,,-89.0,
13.7359,-94.0,,,,,
13.9415,-92.0,,,,,
14.0664,,,,,-83.0,
14.2865,,,,,-89.0,
14.4768,,,,,-85.0,
14.6834,,,,,-86.0,
14.7662,-92.0,,,,,
15.1545,-85.0,,,,,
16.3422,,,,,-86.0,
16.5337,,,,,-85.0,
16.8028,-90.0,,,,,
16.9588,,,,,-85.0,
17.0105,-93.0,,,,,
17.4141,-93.0,,,,,
17.7642,,,,,-89.0,
17.8198,-87.0,,,,,
17.9665,,,,,-82.0,
18.2397,-81.0,,,,,
18.6102,,,,,-81.0,
18.8316,,,,,-80.0,
18.8619,-90.0,,,,,
19.2817,-84.0,,,,,
20.6316,,,,,-84.0,
20.6802,-86.0,,,,,
21.0242,,,,,-85.0,
21.0935,-96.0,,,,,
21.2397,,,,,-87.0,
21.9448,-85.0,,,,,
22.0667,,,,,-91.0,
22.2804,,,,,-96.0,
22.3291,-93.0,,,,,
22.5271,,,,,-97.0,
22.5781,-85.0,,,,,
22.6721,,,,,-86.0,
22.9375,-87.0,,,,,
23.0996,,,,,-89.0,
23.376,,,-91.0,,,
23.6957,,,,,-88.0,
23.7453,-93.0,,,,,
24.6956,,,,,-80.0,
24.7756,-87.0,,,,,
25.109,,,,,-94.0,
25.331,,,,,-89.0,
26.2147,-90.0,,,,,
26.3513,,,,,-86.0,
26.7936,,,,,-88.0,
26.9787,,,,,-95.0,
27.1542,,,,,-92.0,
27.2588,-87.0,,,,,
27.7933,,,,,-87.0,
29.0733,-90.0,,,,,
29.2172,,,,,-83.0,
29.2776,-97.0,,,,,
29.4367,,,,,-83.0,
29.6102,,,,,-84.0,
29.8357,,,,,-94.0,
30.053,,,,,-83.0,
30.1023,-90.0,,,,,
30.227,,,,,-97.0,
30.3811,-87.0,,,,,
30.4671,,,,,-87.0,
30.5148,-84.0,,,,,
30.745,-81.0,,,,,
31.0571,,,,,-83.0,
31.1403,-87.0,,,,,
31.4628,,,,,-86.0,
31.744,-92.0,,,,,
31.9069,,,,,-86.0,
31.9566,-85.0,,,,,
32.0987,,,,,-84.0,
32.5612,-93.0,,,,,
33.1883,-84.0,,,,,
33.7997,-89.0,,,,,
33.9276,,,,,-91.0,
34.2263,-87.0,,,,,
34.3537,,,,,-88.0,
34.5739,,,,,-85.0,
34.7563,,,,,-82.0,
34.8281,-86.0,,,,,
34.9692,,,,,-90.0,
35.0634,-87.0,,,,,
35.5899,,,,,-94.0,
36.2696,-88.0,,,,,
36.6875,-94.0,,,,,
37.0069,,,,,-89.0,
37.1001,-91.0,,,,,
37.2221,,,,,-83.0,
37.3118,-93.0,,,,,
37.4185,,,,,-86.0,
37.5089,-87.0,,,,,
37.6321,,,,,-87.0,
37.7164,-87.0,,,,,
37.869,,,,,-91.0,
38.0346,,,,,-86.0,
38.1211,-88.0,,,,,
38.7426,-86.0,,,,,
38.9667,-85.0,,,,,
39.3509,-90.0,,,,,
39.8885,,,,,-85.0,
40.091,,,,,-79.0,
40.9216,,,,,-86.0,
41.11,,,,,-87.0,
41.2013,-84.0,,,,,
41.6089,-98.0,,,,,
41.8179,-92.0,,,,,
42.2541,-87.0,,,,,
42.3566,,,,,-91.0,
42.853,-92.0,,,,,
42.9832,,,,,-81.0,
43.0612,-87.0,,,,,
43.1778,,,,,-92.0,
43.5901,,,,,-79.0,
44.1889,,,,,-87.0,
44.2807,-86.0,,,,,
44.4204,,,,,-89.0,
44.4962,-87.0,,,,,
45.04,,,,,-86.0,
45.2995,-83.0,,,,,
45.4481,,,,,-91.0,
45.7051,-92.0,,,,,
45.8585,,,,,-79.0,
46.066,,,,,-88.0,
46.1039,-88.0,,,,,
46.2713,,,,,-87.0,
46.485,,,,,-95.0,
46.5274,-85.0,,,,,
46.9297,-95.0,,,,,
47.0861,,,,,-78.0,
47.7561,-89.0,,,,,
48.3356,,,,,-95.0,
48.7942,-95.0,,,,,
48.9929,-100.0,,,,,
49.1531,,,,,-93.0,
49.2192,-89.0,,,,,
49.3653,,,,,-93.0,
49.8088,-93.0,,,,,
50.0151,,,,,-89.0,
50.2399,,,,,-93.0,
50.385,,,,,-92.0,
50.4432,-90.0,,,,,
50.6218,-89.0,,,,,
50.8561,-88.0,,,,,
51.2155,,,,,-82.0,
51.2472,-92.0,,,,,
51.4211,,,,,-78.0,
51.4634,-97.0,,,,,
53.2536,,,,,-81.0,
53.5009,-100.0,,,,,
53.6628,,,,,-95.0,
53.9009,-89.0,,,,,
54.1027,-94.0,,,,,
54.7471,-89.0,,,,,
54.9552,-88.0,,,,,
56.732,,,,,-86.0,
56.9413,,,,,-91.0,
57.0119,-87.0,,,,,
57.1867,-87.0,,,,,
57.6087,-89.0,,,,,
57.781,,,,,-88.0,
57.9583,,,,,-86.0,
58.1557,,,,,-92.0,
58.2284,-90.0,,,,,
58.4526,-93.0,,,,,
58.9793,,,,,-87.0,
59.2025,,,,,-96.0,
59.2427,-88.0,,,,,
60.7006,-94.0,,,,,
61.2071,,,,,-83.0,
61.6267,,,,,-83.0,
61.7091,-88.0,,,,,
61.8471,,,,,-78.0,
61.9114,-89.0,,,,,
62.0407,,,,,-83.0,
62.1093,-89.0,,,,,
62.4536,,,,,-83.0,
62.7727,-87.0,,,,,
62.865,,,,,-86.0,
62.9493,-91.0,,,,,
63.083,,,,,-81.0,
64.9619,,,,,,-93.0
65.117,,,,,-83.0,
65.287,,,,-94.0,,
65.3273,,,,,-89.0,
65.3979,-91.0,,,,,
65.5803,-95.0,,,,,
65.719,,,,,-90.0,
65.9584,,,,,-89.0,
66.3543,,,,,-83.0,
66.7874,,,,,-88.0,
66.9644,,,,,-89.0,
68.4413,,,,,,-92.0
68.6219,,,,,-89.0,
68.7617,,,,-96.0,,
68.8429,,,,,-91.0,
69.0819,-96.0,,,,,
69.443,,,-94.0,,,
69.8431,,,,,-97.0,
70.0831,,,,,,-96.0
70.2638,,,,,-94.0,
70.3227,,-99.0,,,,
70.4628,,,,,-89.0,
70.6759,,,,,-95.0,
71.0333,,,,-97.0,,
71.0857,,,,,-91.0,
71.2735,,,,,-91.0,
72.5357,,,,,-88.0,
72.7703,,,,,,-96.0
73.1105,,,,,-93.0,
73.1683,,,,,,-90.0
73.3414,,,,,-90.0,
73.5498,,,-97.0,,,
73.6249,,,,,,-97.0
73.9219,,,,-96.0,,
74.4246,,-94.0,,,,
74.8415,,,,,,-95.0
74.8502,,-92.0,,,,
75.0352,,,,,,-95.0
75.6568,,,,,,-93.0
75.6665,-98.0,,,,,
75.8375,,,,,,-98.0
76.6772,,,,,,-96.0
76.6852,-94.0,,,,,
76.8989,,,,,,-92.0
76.9443,,,,-97.0,,
77.0786,-91.0,,,,,
77.8633,,,,,-94.0,
78.0769,-94.0,,,,,
78.2484,,,,,-95.0,
78.2968,,,,,,-95.0
78.8384,,,,-93.0,,
78.8796,,,,,-96.0,
79.1075,-94.0,,,,,
79.1337,,,,,,-96.0
80.8074,,,,,,-88.0
82.3495,,,,,-94.0,
82.8064,,,,,,-95.0
83.0363,,,,,,-94.0
83.1737,,,,,-94.0,
83.422,,,,,,-96.0
83.828,,,,,,-86.0
84.0586,,,,,,-89.0
85.0139,,,-97.0,,,
85.1416,,,,-95.0,,
85.4205,,,,,-97.0,
85.8415,,,,,-95.0,
86.0446,,,-92.0,,,
86.1094,,-98.0,,,,
86.2784,,,,,-92.0,
86.2953,,,,,,-85.0
86.3111,,-92.0,,,,
86.3579,,,,-93.0,,
86.4578,,,-94.0,,,
86.4891,,,,,,-94.0
86.5804,,,,-93.0,,
86.7168,,-90.0,,,,
86.8648,,,,,-93.0,
87.0588,,,,,-91.0,
87.2078,,,,-86.0,,
87.3575,,-93.0,,,,
87.9289,,-81.0,,,,
88.137,,-94.0,,,,
88.2146,,,,-85.0,,
88.5336,,,,,,-91.0
88.6198,,,,-89.0,,
88.758,,,,,,-93.0
88.8284,,,,-87.0,,
88.9405,,,,,,-89.0
88.9615,,-92.0,,,,
