AppTimestamp(s),Latitude_degrees,Longitude_degrees,floor_ID
61.2216,49.461200270189,11.110964772206,0
74.569,49.461141911669,11.110943028983,0
103.7967,49.461141911669,11.110943028983,-2
110.786,49.461131579896,11.111006458661,-2
123.1803,49.461131579896,11.111006458661,-2
133.94,49.461141911669,11.110943028983,-2
162.9034,49.461141911669,11.110943028983,0
172.1405,49.461200270189,11.110964772206,0
191.2823,49.461200270189,11.110964772206,0
205.3558,49.461141911669,11.110943028983,0
234.243,49.461141911669,11.110943028983,-2
240.9052,49.461131579896,11.111006458661,-2
261.6265,49.461131579896,11.111006458661,-2
273.1957,49.461141911669,11.110943028983,-2
301.0117,49.461141911669,11.110943028983,0
309.4693,49.461200270189,11.110964772206,0
