AppTimestamp(s),ble_rssi_BE:AC:20:23:00:01,ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:03,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:06
0.3343,,,,-91.0,
0.5509,,,,-93.0,
0.8629,,-62.0,,,
1.0225,-100.0,,,,
1.0725,,-78.0,,,
1.1779,,,,-92.0,
1.2704,,-62.0,,,
1.3789,,,,-85.0,
1.456,,-63.0,,,
1.656,,-67.0,,,
1.7868,,,,-88.0,
1.8718,,-58.0,,,
1.9848,,,,-91.0,
2.3919,,,,-88.0,
2.5997,,,,-96.0,
3.0064,,,,-88.0,
4.0482,,,,-91.0,
4.1184,,-79.0,,,
4.252,,,,-95.0,
4.4837,,,,-94.0,
4.5394,,-72.0,,,
4.7371,,-62.0,,,
4.8971,-96.0,,,,
4.9376,,-62.0,,,
5.0502,,,,-92.0,
5.2699,,,,-90.0,
5.338,,-73.0,,,
5.5533,,-66.0,,,
5.7826,,-75.0,,,
6.1805,,-66.0,,,
6.5065,,,,-90.0,
6.7852,,-69.0,,,
6.8956,,,,-89.0,
7.2105,,-62.0,,,
8.0013,,-66.0,,,
8.5384,,,,-91.0,
8.616,,-68.0,,,
8.733,,,,-95.0,
8.8206,,-59.0,,,
8.9252,,,,-87.0,
9.024,,-70.0,,,
9.2476,,-69.0,,,
9.4396,,-69.0,,,
9.6453,,-64.0,,,
9.8492,-97.0,,,,
9.961,,,,-84.0,
10.0392,,-69.0,,,
10.2114,,,,-93.0,
10.2943,,-71.0,,,
10.3494,,,,-89.0,
10.4882,,-69.0,,,
10.5577,,,,-94.0,
10.6657,,-69.0,,,
12.4022,,,,-83.0,
12.5007,,-67.0,,,
12.5971,,,,-89.0,
12.7062,,-71.0,,,
12.8083,,,,-95.0,
12.8925,,-63.0,,,
13.1046,,-71.0,,,
13.2326,,,,-89.0,
13.3088,,-73.0,,,
13.5076,,-75.0,,,
13.6257,,,,-90.0,
13.714,,-69.0,,,
13.9126,,-72.0,,,
14.0388,,,,-89.0,
14.1215,,-69.0,,,
14.2701,,,,-94.0,
14.323,,-71.0,,,
14.5507,,-67.0,,,
14.954,,-81.0,,,
15.2809,,,,-89.0,
15.567,,-68.0,,,
15.7684,,-80.0,,,
16.0889,,,,-82.0,
16.305,,,,-93.0,
16.3768,,-63.0,,,
16.5734,,-85.0,,,
16.7997,,-69.0,,,
16.9307,,,,-91.0,
16.9956,,-75.0,,,
17.1266,,,,-93.0,
17.2049,,-61.0,,,
17.3119,,,,-95.0,
17.3915,,-65.0,,,
17.8171,,-68.0,,,
17.9474,,,,-93.0,
18.2458,,-68.0,,,
18.5645,,,,-91.0,
18.6288,,-63.0,,,
18.7582,,,,-85.0,
18.8377,,-71.0,,,
19.2447,,-72.0,,,
19.3965,,,,-83.0,
19.4557,,-65.0,,,
20.1956,,,,-89.0,
20.4024,,,,-87.0,
20.4802,,-66.0,,,
20.8877,,-68.0,,,
21.1036,,-74.0,,,
21.5163,,-72.0,,,
21.6257,,,,-87.0,
21.7037,,-76.0,,,
21.9186,,-68.0,,,
22.038,,,,-89.0,
22.1214,,-67.0,,,
22.2719,,,,-87.0,
23.8918,,,,-86.0,
23.9776,,-72.0,,,
24.0764,,,,-91.0,
24.1912,,-66.0,,,
24.2824,,,,-88.0,
24.8007,,-65.0,,,
25.0063,,-73.0,,,
25.2334,,-71.0,,,
25.3136,,,,-90.0,
25.4292,,-70.0,,,
25.537,,,,-89.0,
25.8612,,-59.0,,,
25.9339,,,,-92.0,
26.043,,-61.0,,,
26.3653,,,,-85.0,
26.457,,-64.0,,,
26.5558,,,,-85.0,
26.6458,,-67.0,,,
27.0561,,-55.0,,,
27.7827,,,,-85.0,
27.8789,,-83.0,,,
28.0139,,,,-93.0,
28.2011,,,,-87.0,
29.1214,,-67.0,,,
29.3091,,-66.0,,,
29.4074,,,,-88.0,
29.7304,,-65.0,,,
29.9427,,-86.0,,,
30.0531,,,,-90.0,
30.4527,,,,-91.0,
30.9564,,-59.0,,,
31.0595,,,,-90.0,
31.5802,,-68.0,,,
32.1854,,-61.0,,,
32.6287,,-68.0,,,
32.9243,,,,-86.0,
33.0086,,-73.0,,,
33.1273,,,,-85.0,
33.3433,,,,-92.0,
33.413,,-58.0,,,
33.6217,,-80.0,,,
33.8424,,-75.0,,,
34.0399,,-66.0,,,
34.142,,,,-92.0,
34.2529,,-66.0,,,
34.4359,,-63.0,,,
34.5523,,,,-87.0,
34.6471,,-64.0,,,
35.0749,,-72.0,,,
36.4928,,-70.0,,,
36.6283,,,,-92.0,
36.6839,,-66.0,,,
36.8119,,,,-89.0,
36.8973,,-66.0,,,
37.106,,-67.0,,,
37.2249,,,,-92.0,
37.4186,,,,-96.0,
37.5228,,-72.0,,,
37.6668,,,,-94.0,
37.7499,,-67.0,,,
37.837,,,,-85.0,
38.0373,,,,-86.0,
38.2828,,,,-90.0,
38.3315,,-69.0,,,
38.5578,,-72.0,,,
38.6497,,,,-91.0,
39.0769,,,,-90.0,
39.7853,,-66.0,,,
39.8685,,,,-87.0,
39.9716,,-67.0,,,
40.5983,,-67.0,,,
40.7849,,-74.0,,,
40.9981,,-75.0,,,
41.0993,,,,-87.0,
41.2175,,-68.0,,,
41.343,,,,-86.0,
41.4001,,-69.0,,,
41.6307,,-65.0,,,
41.8235,,-66.0,,,
41.9243,,,,-93.0,
42.0423,,-76.0,,,
42.1633,,,,-95.0,
42.3338,,,,-88.0,
42.6641,,-67.0,,,
42.7275,,,,-92.0,
44.1965,,,,-91.0,
44.3962,,,,-92.0,
44.5054,,-67.0,,,
44.5728,,,,-89.0,
44.7915,,,,-90.0,
44.9782,,,,-90.0,
45.1219,,-69.0,,,
45.3276,,-72.0,,,
45.4023,,,,-90.0,
45.5178,,-72.0,,,
45.7538,,-66.0,,,
45.8055,,,,-88.0,
46.0323,,,,-89.0,
46.2686,,,,-88.0,
46.3365,,-72.0,,,
46.659,,,,-88.0,
46.7463,,-69.0,,,
46.8317,,,,-91.0,
46.9875,,-68.0,,,
47.573,,-74.0,,,
47.8054,,-76.0,,,
48.2547,,,,-86.0,
48.3987,,-67.0,,,
48.4636,,,,-87.0,
48.5934,,-67.0,,,
48.798,,-68.0,,,
48.9979,,-78.0,,,
49.0753,,,,-93.0,
49.4171,,-66.0,,,
49.4933,,,,-86.0,
49.6117,,-67.0,,,
49.8348,,-69.0,,,
50.0254,,-68.0,,,
50.1135,,,,-92.0,
50.2536,,-75.0,,,
50.3179,,,,-91.0,
50.448,,-75.0,,,
50.6425,,-67.0,,,
50.8711,,-65.0,,,
50.9277,,,,-85.0,
51.1768,,,,-84.0,
51.6574,,-73.0,,,
51.7546,,,,-94.0,
51.8478,,-75.0,,,
51.9627,,,,-92.0,
52.3927,,,,-89.0,
52.4645,,-67.0,,,
52.5917,,,,-88.0,
52.661,,-67.0,,,
52.8054,,,,-94.0,
52.8793,,-67.0,,,
53.2181,,,,-91.0,
53.4119,,,,-89.0,
53.4911,,-69.0,,,
53.62,,,,-86.0,
53.6974,,-70.0,,,
53.9012,,-66.0,,,
54.2761,,,,-87.0,
54.4233,,,,-87.0,
54.5267,,-73.0,,,
54.6659,,,,-87.0,
54.709,,-67.0,,,
54.8616,,,,-84.0,
55.1425,,-70.0,,,
55.2426,,,,-86.0,
55.8605,,,,-91.0,
55.956,,-72.0,,,
56.0788,,,,-88.0,
56.7776,,-64.0,,,
56.9011,,,,-88.0,
56.9921,,-73.0,,,
57.1857,,-73.0,,,
57.3013,,,,-86.0,
57.3829,,-71.0,,,
57.7912,,-65.0,,,
57.9948,,-80.0,,,
58.1434,,,,-92.0,
58.2371,,-78.0,,,
58.5811,,,,-87.0,
58.8307,,-65.0,,,
59.1622,,,,-86.0,
59.8841,,-69.0,,,
59.9689,,,,-89.0,
60.1902,,,,-88.0,
60.2504,,-79.0,,,
60.4036,,,,-86.0,
60.4525,,-81.0,,,
60.6575,,-66.0,,,
60.7874,,,,-86.0,
60.8711,,-66.0,,,
61.0817,,-64.0,,,
61.2152,,,,-96.0,
61.2759,,-68.0,,,
61.4118,,,,-91.0,
61.5006,,-83.0,,,
61.6304,,,,-90.0,
61.8338,,,,-87.0,
61.8932,,-76.0,,,
62.0967,,-76.0,,,
62.2498,,,,-85.0,
62.3071,,-69.0,,,
