AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:03:11
2.2149,,-48.0,-73.0,,,-74.0,-73.0,-65.0,,,-59.0,,2417.0,2452.0,,,2437.0,2422.0,2437.0,,,2462.0
6.2028,,-47.0,-76.0,,,-70.0,-76.0,-66.0,,,-58.0,,2417.0,2452.0,,,2437.0,2422.0,2437.0,,,2462.0
10.2621,,,-75.0,,,-75.0,,-64.0,-73.0,-76.0,-66.0,,,2452.0,,,2437.0,,2437.0,2462.0,2437.0,2462.0
14.2328,,-50.0,,-74.0,,-71.0,-73.0,-69.0,,,-66.0,,2417.0,,2462.0,,2437.0,2422.0,2437.0,,,2462.0
18.2557,,-46.0,,-75.0,,-73.0,-71.0,-72.0,-77.0,,,,2417.0,,2462.0,,2437.0,2422.0,2437.0,2462.0,,
22.217,,-49.0,-75.0,-74.0,,-74.0,,-68.0,,,-71.0,,2417.0,2452.0,2462.0,,2437.0,,2437.0,,,2462.0
26.2157,,,,-78.0,,-79.0,-77.0,-65.0,-77.0,,-71.0,,,,2462.0,,2437.0,2422.0,2437.0,2462.0,,2462.0
30.2102,,-48.0,,,-74.0,-75.0,-71.0,-66.0,,,-71.0,,2417.0,,,2427.0,2437.0,2422.0,2437.0,,,2462.0
34.2105,,-45.0,,,-71.0,-72.0,-72.0,-66.0,,,-68.0,,2417.0,,,2427.0,2437.0,2422.0,2437.0,,,2462.0
38.2314,,-47.0,,,-74.0,-73.0,-72.0,-65.0,,,-65.0,,2417.0,,,2427.0,2437.0,2422.0,2437.0,,,2462.0
42.2478,,-48.0,,,,-74.0,-70.0,-65.0,-75.0,,-65.0,,2417.0,,,,2437.0,2422.0,2437.0,2462.0,,2462.0
46.2327,,-49.0,,,,-75.0,-69.0,-62.0,-75.0,,-58.0,,2417.0,,,,2437.0,2422.0,2437.0,2462.0,,2462.0
50.2229,,-49.0,,,,-75.0,-69.0,-64.0,-74.0,,-64.0,,2417.0,,,,2437.0,2422.0,2437.0,2462.0,,2462.0
54.2325,,-48.0,-75.0,,,-75.0,-69.0,-60.0,,,-58.0,,2417.0,2452.0,,,2437.0,2422.0,2437.0,,,2462.0
58.2446,,-46.0,-75.0,,,-68.0,-69.0,-69.0,,,-62.0,,2417.0,2452.0,,,2437.0,2422.0,2437.0,,,2462.0
62.2072,,-47.0,,,,-74.0,-69.0,-63.0,-72.0,,-62.0,,2417.0,,,,2437.0,2422.0,2437.0,2462.0,,2462.0
66.2408,,-50.0,,-74.0,-69.0,,-66.0,-67.0,,,-62.0,,2417.0,,2462.0,2427.0,,2422.0,2437.0,,,2462.0
70.213,,-45.0,,,-73.0,-67.0,-70.0,-71.0,,,-71.0,,2417.0,,,2427.0,2437.0,2422.0,2437.0,,,2462.0
74.2162,,-49.0,,-72.0,,-72.0,-68.0,-67.0,,,-63.0,,2417.0,,2462.0,,2437.0,2422.0,2437.0,,,2462.0
78.2128,,-49.0,,,-68.0,-70.0,-68.0,-63.0,,,-61.0,,2417.0,,,2427.0,2437.0,2422.0,2437.0,,,2462.0
82.2333,,-46.0,-72.0,-71.0,,-66.0,,-70.0,,,-50.0,,2417.0,2452.0,2462.0,,2437.0,,2437.0,,,2462.0
86.2029,,-46.0,,,,-67.0,-68.0,-66.0,-68.0,,-48.0,,2417.0,,,,2437.0,2422.0,2437.0,2462.0,,2462.0
90.2082,,-49.0,-67.0,,,-67.0,-64.0,-60.0,,,-55.0,,2417.0,2452.0,,,2437.0,2422.0,2437.0,,,2462.0
94.2314,-72.0,,,,-72.0,-68.0,-69.0,-61.0,,,-57.0,2437.0,,,,2427.0,2437.0,2422.0,2437.0,,,2462.0
98.2298,,-52.0,,,-69.0,-71.0,,-61.0,-71.0,,-65.0,,2417.0,,,2427.0,2437.0,,2437.0,2462.0,,2462.0
102.2398,,-53.0,,,,-64.0,-63.0,-52.0,-63.0,,-57.0,,2417.0,,,,2437.0,2422.0,2437.0,2462.0,,2462.0
106.2364,,-54.0,,,,-62.0,-63.0,-50.0,-62.0,,-55.0,,2417.0,,,,2437.0,2422.0,2437.0,2462.0,,2462.0
110.2654,,,,-63.0,-64.0,-60.0,,-56.0,-64.0,,-55.0,,,,2462.0,2427.0,2437.0,,2437.0,2462.0,,2462.0
114.2561,,-54.0,,-63.0,-59.0,-61.0,,-52.0,,,-59.0,,2417.0,,2462.0,2427.0,2437.0,,2437.0,,,2462.0
118.1961,,-54.0,-64.0,-61.0,,-63.0,,-52.0,-60.0,,,,2417.0,2452.0,2462.0,,2437.0,,2437.0,2462.0,,
122.2352,,-54.0,,-61.0,,-63.0,-62.0,-56.0,-60.0,,,,2417.0,,2462.0,,2437.0,2422.0,2437.0,2462.0,,
