AppTimestamp(s),Latitude_degrees,Longitude_degrees
61.8224,49.46105277,11.11105204
74.2523,49.46108654,11.11120864
83.2557,49.46111244,11.11131808
101.243,49.46120206,11.11150941
108.015,49.46122192,11.1115901
115.0421,49.46127452,11.111561
121.9586,49.46132723,11.11158137
153.7586,49.46132723,11.11158137
161.1732,49.46127452,11.111561
168.5924,49.46122192,11.1115901
176.7743,49.46120206,11.11150941
195.7493,49.46111244,11.11131808
204.9474,49.46108654,11.11120864
218.1294,49.46105277,11.11105204
