AppTimestamp(s),ble_rssi_BE:AC:20:23:00:01,ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:03,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:06
0.6202,,,-95.0,,
0.6749,,,,-102.0,
0.8034,,,-87.0,,
2.4617,,,-93.0,,
2.6706,,,-88.0,,
2.8637,,,-89.0,,
4.4835,,,-94.0,,
4.7049,,,-89.0,,
4.889,,,-93.0,,
5.0117,,,,-98.0,
6.5371,,,-92.0,,
6.7362,,,-91.0,,
6.935,,,-89.0,,
8.5836,,,-91.0,,
8.9754,,,-95.0,,
10.4298,,,-87.0,,
10.6295,,,-100.0,,
12.4799,,,-95.0,,
12.669,,,-94.0,,
12.7464,,,,-100.0,
12.9631,,,,-101.0,
14.4948,,,-96.0,,
14.9324,,,-95.0,,
16.7576,,,-96.0,,
17.0306,,,,-96.0,
18.4064,,,-94.0,,
18.6048,,,-92.0,,
18.7969,,,-100.0,,
19.0198,,,-86.0,,
20.4551,,,-90.0,,
20.526,,,,-97.0,
20.6462,,,-93.0,,
20.8649,,,-83.0,,
21.0484,,,-88.0,,
22.4864,,,-92.0,,
22.7142,,,-91.0,,
22.9059,,,-91.0,,
24.5379,,,-89.0,,
24.7367,,,-91.0,,
26.3743,,,-98.0,,
26.5827,,,-85.0,,
26.7755,,,-97.0,,
27.001,,,-97.0,,
28.4396,,,-89.0,,
29.0613,,,-97.0,,
29.8753,,,-90.0,,
30.4875,,,-84.0,,
30.6993,,,-85.0,,
30.8742,,,-86.0,,
32.6062,,,,-97.0,
32.9464,,,-91.0,,
34.5947,,,-93.0,,
34.7904,,,-85.0,,
34.8455,,,,-100.0,
34.9906,,,-94.0,,
36.4408,,,-94.0,,
36.7016,,,,-101.0,
36.8399,,,-96.0,,
37.0597,,,-94.0,,
38.4944,,,-95.0,,
38.9126,,,-93.0,,
40.5488,,,-87.0,,
40.6219,,,,-97.0,
40.7341,,,-94.0,,
41.005,,,,-98.0,
42.7723,,,-98.0,,
42.8678,,,,-97.0,
42.9723,,,-90.0,,
44.4067,,,-90.0,,
44.5066,,,,-99.0,
44.8188,,,-89.0,,
44.8974,,,,-97.0,
46.4693,,,-94.0,,
48.3185,,,-92.0,,
50.5573,,,-89.0,,
50.8261,,,,-102.0,
52.6041,,,-90.0,,
53.0195,,,-90.0,,
53.0949,,,,-95.0,
53.4102,,,-98.0,,
54.4744,,,-93.0,,
54.4938,,,,-98.0,
54.6538,,,-96.0,,
54.9041,,,,-99.0,
56.5061,,,-96.0,,
56.9003,,,-95.0,,
58.7463,,,-92.0,,
58.9634,,,-90.0,,
60.5855,,,-97.0,,
60.794,,,-92.0,,
61.0051,,,-97.0,,
62.4263,,,-88.0,,
62.6586,,,-88.0,,
62.6747,,,,-97.0,
62.831,,,-94.0,,
63.0951,,,-85.0,,
64.4758,,,-88.0,,
64.5095,,,,-102.0,
64.8752,,,-91.0,,
66.5112,,,-85.0,,
66.7318,,,-92.0,,
66.9425,,,-82.0,,
68.5594,,,-84.0,,
68.7663,,,-88.0,,
68.9711,,,-87.0,,
70.4028,,,-85.0,,
70.4707,,,,-88.0,
70.693,,,,-97.0,
70.8197,,,-78.0,,
70.8793,,,,-92.0,
71.0104,,,-90.0,,
72.4669,,,-84.0,,
72.5264,,,,-90.0,
72.658,,,-74.0,,
72.7477,,,,-98.0,
72.8615,,,-77.0,,
72.936,,,,-90.0,
73.6735,,,-72.0,,
74.5098,,,-85.0,,
74.5761,,,,-88.0,
74.7146,,,-77.0,,
74.7738,,,,-94.0,
74.914,,,-76.0,,
76.2121,,,,-86.0,
76.4274,,,,-92.0,
76.5615,,,-70.0,,
76.8335,,,,-97.0,
76.9956,,,-82.0,,
78.4304,,,-77.0,,
78.4807,,,,-88.0,
78.6277,,,-82.0,,
