AppTimestamp(s),ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:06
1.0761,,-97.0
2.7103,,-91.0
3.191,-99.0,
4.76,,-95.0
6.5974,,-95.0
7.2107,,-93.0
8.8576,,-101.0
8.9618,-93.0,
9.2678,,-92.0
10.904,,-88.0
11.1103,,-90.0
12.5429,,-94.0
12.7332,,-99.0
12.9434,,-91.0
13.1498,,-96.0
14.8644,,-93.0
14.9968,,-101.0
15.7222,-99.0,
16.6325,,-94.0
17.0392,,-90.0
18.2577,,-98.0
18.8126,-99.0,
18.8825,,-101.0
19.0961,,-92.0
20.7422,,-94.0
20.944,,-97.0
22.7698,,-93.0
25.0206,,-88.0
25.219,,-94.0
26.4383,,-94.0
27.2338,-97.0,
28.9446,,-92.0
29.1152,,-89.0
30.7465,,-100.0
31.1508,,-94.0
33.0039,,-97.0
34.6585,,-94.0
37.0997,,-97.0
38.7286,,-96.0
38.9514,,-94.0
40.8122,,-98.0
40.991,,-94.0
41.2151,,-97.0
42.6505,,-93.0
42.8591,,-96.0
43.2559,,-91.0
44.8873,,-100.0
45.0945,,-93.0
48.7618,,-91.0
48.8335,-99.0,
54.9052,,-102.0
56.7548,,-95.0
56.8472,-102.0,
56.957,,-97.0
60.863,,-88.0
61.2653,,-90.0
62.9033,,-90.0
64.7854,-98.0,
69.2543,,-98.0
72.72,,-96.0
75.2906,-97.0,
96.9109,,-102.0
100.8242,,-100.0
104.0696,,-96.0
104.9008,,-97.0
106.9397,,-96.0
108.7986,,-96.0
111.2458,,-96.0
112.6637,,-96.0
113.0686,,-98.0
120.8413,,-99.0
129.2133,-99.0,
130.6672,-101.0,
130.8658,-101.0,
132.7479,,-98.0
133.1083,-100.0,
137.0145,-100.0,
138.6639,-102.0,
140.7614,,-99.0
141.1112,-99.0,
141.1808,,-93.0
143.022,,-94.0
143.2169,,-97.0
144.8957,,-87.0
145.0535,,-91.0
146.7074,,-92.0
146.9061,,-94.0
147.1074,,-84.0
