AppTimestamp(s),ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:06
21.3105,,,-98.0
28.8717,,,-98.0
80.6198,,,-92.0
81.6218,,,-95.0
95.7273,,,-98.0
96.1551,,,-93.0
96.9596,,,-89.0
101.2894,,,-90.0
102.3602,-91.0,,
102.5065,,,-87.0
103.3735,-86.0,,
103.5804,-87.0,,
103.9295,,,-93.0
104.5528,,,-97.0
104.6083,-95.0,,
104.8203,-93.0,,
105.026,-92.0,,
105.2232,-95.0,,
105.6323,-92.0,,
108.0856,-90.0,,
108.3112,-96.0,,
108.5094,-93.0,,
109.0847,,,-99.0
109.1347,-89.0,,
109.3397,-90.0,,
109.5547,,,-91.0
110.1436,-92.0,,
110.3455,-91.0,,
111.5628,-95.0,,
111.7197,,,-87.0
111.9151,,,-88.0
112.1265,,,-92.0
112.1793,-92.0,,
112.9506,,,-87.0
113.2192,-92.0,,
113.3589,,,-91.0
114.0092,,,-89.0
114.166,,,-88.0
115.1873,,,-88.0
115.4055,,,-87.0
115.8851,-95.0,,
115.9959,,,-92.0
116.4971,-94.0,,
116.6065,,,-91.0
117.786,-87.0,,
117.8583,,,-94.0
117.9211,-89.0,,
118.1429,-87.0,,
118.2633,,,-94.0
118.9654,-84.0,,
119.2898,,,-89.0
119.4929,,,-93.0
119.6973,,,-95.0
119.7792,-92.0,,
119.9805,-89.0,,
120.1897,-88.0,,
120.3216,,,-89.0
120.4032,-95.0,,
120.5147,,,-89.0
120.8131,-94.0,,
121.0178,-88.0,,
121.7515,,,-92.0
121.8356,-95.0,,
121.9732,,,-93.0
122.6645,-94.0,,
122.7696,,,-86.0
123.8094,,,-90.0
123.8711,-96.0,,
123.993,,,-95.0
124.0853,-93.0,,
124.1987,,,-94.0
124.3023,-92.0,,
124.4105,,,-92.0
124.7058,-92.0,,
125.008,,,-97.0
125.431,,,-94.0
125.5364,-91.0,,
125.9183,-93.0,,
127.5696,-91.0,,
128.1958,-93.0,,
128.3938,-98.0,,
128.6905,,,-96.0
131.1451,,,-93.0
136.0616,,,-95.0
199.3446,,,-94.0
210.3934,,,-93.0
213.2365,-96.0,,
214.0834,,,-89.0
214.2649,-88.0,,
214.4772,-85.0,,
215.7172,-85.0,,
215.7318,,,-86.0
215.8941,-101.0,,
216.1162,,,-94.0
216.7438,,,-87.0
216.9373,,,-89.0
217.607,,,-85.0
217.7526,-81.0,,
217.9013,,-92.0,
217.9531,-89.0,,
221.5052,,,-90.0
225.5932,,,-93.0
225.9678,,,-92.0
227.2062,-98.0,,
228.0754,,,-94.0
228.0823,-91.0,,
228.2233,,,-93.0
228.2578,-92.0,,
228.6535,,,-92.0
228.6583,-97.0,,
229.2421,,,-97.0
229.2633,-90.0,,
229.4533,,,-93.0
229.6499,,,-97.0
231.0997,-92.0,,
231.744,,,-96.0
232.5342,,,-96.0
233.7641,,,-92.0
235.4049,-86.0,,
235.4179,,,-91.0
235.6133,,,-91.0
236.6362,,,-90.0
236.8464,,,-88.0
236.8597,-93.0,,
237.0386,,,-94.0
237.2327,,,-96.0
237.6771,-90.0,,
237.868,,,-86.0
237.8932,-91.0,,
238.8936,-90.0,,
239.3074,,,-96.0
240.3498,-91.0,,
240.5048,,,-97.0
241.2024,-97.0,,
241.3551,-94.0,,
241.7728,-92.0,,
241.9543,,,-93.0
241.9741,-89.0,,
242.3462,,,-88.0
242.3798,-93.0,,
243.3612,,,-96.0
243.4256,-92.0,,
243.5758,,,-94.0
243.626,-90.0,,
243.8371,-91.0,,
244.0338,-90.0,,
244.2314,-93.0,,
244.4345,-93.0,,
245.0638,-94.0,,
245.6619,-92.0,,
247.4548,,,-96.0
