AppTimestamp(s),ble_rssi_BE:AC:20:23:00:01,ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:04
0.0662,,-82.0,
0.641,,-85.0,
2.069,,-100.0,
2.2755,,-75.0,
2.4815,,-96.0,
4.1248,,-79.0,
4.3254,,-80.0,
4.5349,,-90.0,
6.1812,,-86.0,
6.3791,,-82.0,
6.6015,,-79.0,
8.0337,,-78.0,
8.2348,,-85.0,
8.4338,,-88.0,
8.6631,,-92.0,
10.0748,,-94.0,
10.2528,,-83.0,
10.477,,-79.0,
12.0919,,-76.0,
14.1489,,-75.0,
14.4983,,,-102.0
14.5516,,-86.0,
15.981,,-77.0,
16.3934,,-82.0,
16.6075,,-74.0,
18.0351,,-86.0,
18.2421,,-84.0,
18.4659,,-76.0,
20.0948,,-90.0,
22.2986,,,-99.0
22.3423,,-73.0,
22.5764,,-83.0,
24.2165,,-83.0,
24.426,,-78.0,
26.0256,,-75.0,
26.4264,,-77.0,
26.5934,,,-97.0
28.015,,,-98.0
28.0566,,-85.0,
28.4684,,-81.0,
30.0867,,,-96.0
30.3163,,-80.0,
30.5183,,-78.0,
32.1587,,-83.0,
32.5688,,-75.0,
33.1862,,-89.0,
34.2,,-84.0,
34.6334,,-87.0,
36.0685,,-77.0,
36.2512,,-84.0,
36.4126,,,-97.0
36.4616,,-77.0,
38.0889,,-82.0,
40.3029,,,-99.0
40.3502,,-77.0,
40.5911,,-83.0,
41.9799,,-82.0,
42.1872,,,-98.0
42.1954,,-77.0,
42.3734,,,-97.0
42.6038,,,-97.0
42.9995,,-82.0,
43.9964,,,-95.0
44.0256,,-76.0,
44.2709,,-77.0,
44.4298,,-76.0,
44.6487,,,-95.0
46.291,,-85.0,
48.1265,,-77.0,
48.3019,,,-99.0
48.324,,-77.0,
48.5333,,-77.0,
50.6056,,-88.0,
52.0562,,-85.0,
52.2662,,-77.0,
52.4319,,-76.0,
52.6294,,,-98.0
52.6598,,-76.0,
54.2956,,-77.0,
54.4905,,-82.0,
56.1372,,-78.0,
56.3624,,-80.0,
56.547,,-76.0,
57.9916,,-76.0,
58.1911,,-79.0,
58.6114,,-78.0,
60.0378,,-77.0,
60.3966,,,-99.0
60.4582,,-76.0,
61.2734,,-86.0,
62.0806,,-76.0,
62.3271,,-69.0,
62.5052,,-88.0,
64.1314,,,-102.0
64.1457,,-70.0,
64.3387,,-85.0,
64.5221,,,-102.0
64.5401,,-79.0,
65.9828,,-75.0,
66.1855,,-67.0,
66.3811,,-74.0,
66.5557,,,-100.0
66.5934,,-69.0,
67.9979,,,-91.0
68.028,,-68.0,
68.2358,,-69.0,
68.3947,,,-97.0
68.4269,,-67.0,
68.6426,,-71.0,
70.3044,,-72.0,
70.432,,,-95.0
70.4776,,-74.0,
72.0938,,,-101.0
72.1425,,-81.0,
72.2826,,,-94.0
72.3495,,-79.0,
72.478,,,-97.0
72.5267,,-84.0,
74.0138,,-74.0,
74.1907,,-71.0,
74.375,,-76.0,
74.5891,,-75.0,
75.3388,,,-95.0
76.0118,,-81.0,
76.2187,,-75.0,
76.4222,,-82.0,
76.5596,,,-96.0
76.6335,,-78.0,
78.0628,,-69.0,
78.3003,,-83.0,
78.4148,,,-92.0
78.4752,,-78.0,
78.6182,,,-92.0
80.1138,,-84.0,
80.2604,,,-94.0
80.3238,,-85.0,
80.4744,,,-95.0
80.5313,,-81.0,
82.1184,,,-89.0
82.1678,,-85.0,
82.38,,-77.0,
82.579,,-91.0,
84.0134,,-87.0,
84.1413,,,-100.0
84.204,,-99.0,
84.4328,,-82.0,
84.5604,,,-93.0
84.6134,,-88.0,
86.174,,,-91.0
86.2585,,-84.0,
86.3878,,,-92.0
86.4739,,-93.0,
86.5995,,,-93.0
88.044,,,-96.0
88.1198,,-92.0,
88.2291,,,-96.0
88.4382,,,-99.0
90.2703,,,-94.0
90.3552,,-98.0,
90.482,,,-91.0
92.1328,,,-97.0
92.2021,,-100.0,
92.434,,-83.0,
92.4546,-98.0,,
92.6127,,-94.0,
94.0539,,-79.0,
94.1813,,,-92.0
94.2436,,-80.0,
94.3976,,,-88.0
94.4613,,-78.0,
94.5945,,,-93.0
95.6227,,,-93.0
96.0295,,,-98.0
96.2312,,,-98.0
96.2983,,-85.0,
98.0684,,,-98.0
98.1537,,-81.0,
98.2827,,,-92.0
98.4859,,,-99.0
98.5546,,-81.0,
99.9976,,-81.0,
100.1164,,,-97.0
100.1886,,-89.0,
100.4026,,-91.0,
