AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:91,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:06,wifi_rssi_20:23:00:00:01:07,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:38,wifi_rssi_20:23:00:00:01:43,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:91,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:06,wifi_freq_20:23:00:00:01:07,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:38,wifi_freq_20:23:00:00:01:43,wifi_freq_20:23:00:00:03:11
0.6635,-87.0,,-55.0,-90.0,,,-92.0,-87.0,-84.0,-87.0,-73.0,-88.0,-86.0,-86.0,,-87.0,,,,,,-91.0,,,-93.0,-90.0,,,,,-89.0,2437.0,,2417.0,2452.0,,,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,2462.0,,,5240.0,5240.0,,,,,2462.0
2.652,-87.0,,-57.0,-84.0,,-87.0,,,-85.0,-84.0,-74.0,-90.0,-91.0,-82.0,,-85.0,,,,,,,,,-90.0,-89.0,,,,,-88.0,2437.0,,2417.0,2452.0,,2462.0,,,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,5240.0,5240.0,,,,,2462.0
4.655,,,-56.0,-86.0,,-86.0,-91.0,-81.0,-79.0,-86.0,-69.0,-92.0,-92.0,-86.0,,-87.0,,,,,,,,,-89.0,-90.0,,,,,-91.0,,,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,5240.0,5240.0,,,,,2462.0
6.6689,,,,,,,,,-84.0,-84.0,-83.0,,-90.0,-84.0,,-92.0,,,,,,,,,,,,,,,-86.0,,,,,,,,,2437.0,2422.0,2437.0,,5220.0,2462.0,,2437.0,,,,,,,,,,,,,,,2462.0
8.6796,-91.0,,-51.0,-85.0,,,,-85.0,-78.0,-83.0,-74.0,-87.0,-86.0,,,,,,,,,,,,,,,,,,-86.0,2437.0,,2417.0,2452.0,,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,,,,,,,,,,,,,,,,,2462.0
10.6843,-87.0,,-53.0,,,-87.0,-89.0,-81.0,,-82.0,-75.0,-90.0,,-87.0,,-90.0,,,,,,,,,-89.0,-89.0,,,,,,2437.0,,2417.0,,,2462.0,2412.0,2427.0,,2422.0,2437.0,5220.0,,2462.0,,2437.0,,,,,,,,,5240.0,5240.0,,,,,
12.6624,-90.0,,-59.0,-87.0,,,,-89.0,-81.0,-86.0,-68.0,,-89.0,-81.0,,-87.0,,,,,,,,,,,,,,,-74.0,2437.0,,2417.0,2452.0,,,,2427.0,2437.0,2422.0,2437.0,,5220.0,2462.0,,2437.0,,,,,,,,,,,,,,,2462.0
14.6566,-91.0,,-51.0,-86.0,,,,,-85.0,-84.0,-71.0,-90.0,,-88.0,,-86.0,,,,,,,,,,,,,,,-86.0,2437.0,,2417.0,2452.0,,,,,2437.0,2422.0,2437.0,5220.0,,2462.0,,2437.0,,,,,,,,,,,,,,,2462.0
16.6785,,,,-92.0,,,,-89.0,-85.0,-78.0,-82.0,,-91.0,,,-94.0,,,,,,,,,,,,,,,-76.0,,,,2452.0,,,,2427.0,2437.0,2422.0,2437.0,,5220.0,,,2437.0,,,,,,,,,,,,,,,2462.0
18.6805,-91.0,,-60.0,-91.0,,-89.0,,-80.0,-77.0,-87.0,-80.0,-92.0,,-89.0,,-88.0,,,,,,,,,,,,,,,-84.0,2437.0,,2417.0,2452.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,,2462.0,,2437.0,,,,,,,,,,,,,,,2462.0
