AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:01:06,wifi_rssi_20:23:00:00:01:07,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:01:06,wifi_freq_20:23:00:00:01:07,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:03:11
0.6635,-87.0,-55.0,,,,-87.0,-84.0,-87.0,-73.0,-88.0,-86.0,-86.0,-87.0,,,,,,,2437.0,2417.0,,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2437.0,,,,,,
2.652,-87.0,-57.0,-84.0,-87.0,,,-85.0,-84.0,-74.0,,,-82.0,-85.0,,,,,,-88.0,2437.0,2417.0,2452.0,2462.0,,,2437.0,2422.0,2437.0,,,2462.0,2437.0,,,,,,2462.0
4.655,,-56.0,-86.0,-86.0,,-81.0,-79.0,-86.0,-69.0,,,-86.0,-87.0,,,,-89.0,,,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0,,,,5240.0,,
6.6689,,,,,,,-84.0,-84.0,-83.0,,-90.0,-84.0,-92.0,,,,,,-86.0,,,,,,,2437.0,2422.0,2437.0,,5220.0,2462.0,2437.0,,,,,,2462.0
8.6796,-91.0,-51.0,-85.0,,,-85.0,-78.0,-83.0,-74.0,-87.0,-86.0,,,,,,,,-86.0,2437.0,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,,,,,,,2462.0
10.6843,-87.0,-53.0,,-87.0,-89.0,-81.0,,-82.0,-75.0,,,-87.0,,,,,-89.0,-89.0,,2437.0,2417.0,,2462.0,2412.0,2427.0,,2422.0,2437.0,,,2462.0,,,,,5240.0,5240.0,
12.6624,,-59.0,-87.0,,,-89.0,-81.0,-86.0,-68.0,,-89.0,-81.0,-87.0,,,,,,-74.0,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,,5220.0,2462.0,2437.0,,,,,,2462.0
14.6566,-91.0,-51.0,-86.0,,,,-85.0,-84.0,-71.0,-90.0,,-88.0,-86.0,,,,,,-86.0,2437.0,2417.0,2452.0,,,,2437.0,2422.0,2437.0,5220.0,,2462.0,2437.0,,,,,,2462.0
16.6785,,,-92.0,,,-89.0,-85.0,-78.0,-82.0,,-91.0,,-94.0,,,,,,-76.0,,,2452.0,,,2427.0,2437.0,2422.0,2437.0,,5220.0,,2437.0,,,,,,2462.0
18.6805,,-60.0,-91.0,-89.0,,-80.0,-77.0,-87.0,-80.0,,,-89.0,-88.0,,,,,,-84.0,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0,,,,,,2462.0
20.6699,,-60.0,-88.0,-87.0,-90.0,-85.0,-84.0,-85.0,-78.0,,-94.0,,,,,,,,-83.0,,2417.0,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,5220.0,,,,,,,,2462.0
22.6571,,-47.0,-90.0,,,-87.0,-84.0,-90.0,-85.0,-89.0,-88.0,-86.0,-89.0,,,,,,,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2437.0,,,,,,
24.6691,-84.0,-52.0,,,,,-82.0,-79.0,-72.0,-92.0,-89.0,-86.0,-86.0,,,,-89.0,,,2437.0,2417.0,,,,,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2437.0,,,,5240.0,,
26.6639,-91.0,-49.0,-89.0,,,-82.0,-84.0,-84.0,-73.0,,-89.0,-83.0,-88.0,,,,,,,2437.0,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,,5220.0,2462.0,2437.0,,,,,,
28.665,,-59.0,,,-92.0,,-84.0,-87.0,-77.0,-93.0,-89.0,,,,,,,,,,2417.0,,,2412.0,,2437.0,2422.0,2437.0,5220.0,5220.0,,,,,,,,
30.6768,-90.0,-56.0,,-87.0,,-89.0,-83.0,-88.0,-75.0,-90.0,,-87.0,-83.0,,,,,,,2437.0,2417.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,,2462.0,2437.0,,,,,,
32.6749,,-57.0,-85.0,,,-87.0,-77.0,-83.0,-71.0,-85.0,-83.0,-87.0,,,,,,-90.0,,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,,,,5240.0,
34.6713,,-59.0,-88.0,,,-87.0,-81.0,-84.0,-77.0,-86.0,-86.0,-84.0,-85.0,,,,,,,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2437.0,,,,,,
36.6812,-88.0,-57.0,-84.0,,,-87.0,,-84.0,-72.0,-85.0,-85.0,,-84.0,,,,,-89.0,,2437.0,2417.0,2452.0,,,2427.0,,2422.0,2437.0,5220.0,5220.0,,2437.0,,,,,5240.0,
38.6793,-86.0,-56.0,,,,-85.0,-77.0,-84.0,-73.0,-85.0,-86.0,-86.0,-83.0,,,,,,,2437.0,2417.0,,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2437.0,,,,,,
40.6925,,,-90.0,,,-89.0,-84.0,-84.0,-73.0,-84.0,-84.0,-86.0,-86.0,,,,,-89.0,,,,2452.0,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2437.0,,,,,5240.0,
