AppTimestamp(s),Counter,Latitude,Longitude,floor ID,Building ID
61.4235,1,49.461316433032,11.11096444258,0,100
68.0502,2,49.46127560249,11.110988346746,0,100
76.4798,3,49.461235913436,11.111048750451,0,100
93.2222,4,49.461189617035,11.110861103429,0,100
103.2217,5,49.461200270189,11.110964772206,0,100
116.9825,6,49.461094796224,11.111027453904,0,100
122.906,7,49.461052766818,11.111052038421,0,100
165.5593,8,49.461052766818,11.111052038421,0,100
171.9631,9,49.461094796224,11.111027453904,0,100
185.8601,10,49.461200270189,11.110964772206,0,100
194.9916,11,49.461189617035,11.110861103429,0,100
211.2702,12,49.461235913436,11.111048750451,0,100
219.3489,13,49.46127560249,11.110988346746,0,100
225.4815,14,49.461316433032,11.11096444258,0,100
