AppTimestamp(s),Latitude_degrees,Longitude_degrees
61.3811,49.46131643,11.11096444
66.3528,49.4612756,11.11098835
72.4747,49.46123591,11.11104875
86.2852,49.46118962,11.1108611
95.4517,49.46120027,11.11096477
108.3209,49.4610948,11.11102745
113.8132,49.46105277,11.11105204
146.1783,49.46105277,11.11105204
152.0189,49.4610948,11.11102745
164.0856,49.46120027,11.11096477
172.1571,49.46118962,11.1108611
187.0013,49.46123591,11.11104875
194.2146,49.4612756,11.11098835
199.7142,49.46131643,11.11096444
