AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:03:25
0.6324,-68.0,,-82.0,,,-72.0,-80.0,,,-72.0,-72.0,,,,2437.0,,2452.0,,,2462.0,2412.0,,,5220.0,5220.0,,,
2.6021,-66.0,,-68.0,,-66.0,-69.0,-72.0,,,,-72.0,,,,2437.0,,2452.0,,2457.0,2462.0,2412.0,,,,5220.0,,,
4.5717,-70.0,,-70.0,,,,-71.0,-74.0,,-72.0,-71.0,,,,2437.0,,2452.0,,,,2412.0,2427.0,,5220.0,5220.0,,,
6.6013,,-74.0,-71.0,,,-70.0,,,,-73.0,-73.0,-72.0,,,,5200.0,2452.0,,,2462.0,,,,5220.0,5220.0,2462.0,,
8.6196,-64.0,,-70.0,,,-74.0,-72.0,-69.0,,,-74.0,,,,2437.0,,2452.0,,,2462.0,2412.0,2427.0,,,5220.0,,,
10.6131,-63.0,,-69.0,,,-73.0,-73.0,,,-72.0,-72.0,,,,2437.0,,2452.0,,,2462.0,2412.0,,,5220.0,5220.0,,,
12.6027,-62.0,,,,-73.0,-71.0,,,,-74.0,-74.0,-70.0,,,2437.0,,,,2457.0,2462.0,,,,5220.0,5220.0,2462.0,,
14.6224,-63.0,,-69.0,,,,-76.0,-73.0,,-75.0,-75.0,,,,2437.0,,2452.0,,,,2412.0,2427.0,,5220.0,5220.0,,,
16.5732,-60.0,,-71.0,,,-70.0,,,,-72.0,-72.0,-73.0,,,2437.0,,2452.0,,,2462.0,,,,5220.0,5220.0,2462.0,,
18.633,-65.0,,-70.0,,-73.0,-75.0,-73.0,-73.0,,,,,,,2437.0,,2452.0,,2457.0,2462.0,2412.0,2427.0,,,,,,
20.6043,-62.0,,-74.0,,,-78.0,-74.0,,,-72.0,-71.0,,,,2437.0,,2452.0,,,2462.0,2412.0,,,5220.0,5220.0,,,
22.5887,-72.0,,,,-73.0,,-72.0,-68.0,,-71.0,-71.0,,,,2437.0,,,,2457.0,,2412.0,2427.0,,5220.0,5220.0,,,
24.6209,-69.0,,-74.0,,-70.0,-70.0,,,,-73.0,-73.0,,,,2437.0,,2452.0,,2457.0,2462.0,,,,5220.0,5220.0,,,
26.5951,-65.0,-70.0,-71.0,,,,-72.0,,,-72.0,-72.0,,,,2437.0,5200.0,2452.0,,,,2412.0,,,5220.0,5220.0,,,
28.6107,-72.0,,-76.0,,-70.0,,,-73.0,,-76.0,-75.0,,,,2437.0,,2452.0,,2457.0,,,2427.0,,5220.0,5220.0,,,
30.5959,-61.0,-72.0,,,,-74.0,,,,-74.0,-75.0,-73.0,,,2437.0,5200.0,,,,2462.0,,,,5220.0,5220.0,2462.0,,
32.594,-74.0,,-75.0,,-73.0,,,-74.0,,-72.0,-72.0,,,,2437.0,,2452.0,,2457.0,,,2427.0,,5220.0,5220.0,,,
34.5773,-68.0,-73.0,,,,-74.0,,,,-73.0,-73.0,-74.0,,,2437.0,5200.0,,,,2462.0,,,,5220.0,5220.0,2462.0,,
36.5908,-65.0,-74.0,-74.0,,,,,-75.0,,-74.0,-74.0,,,,2437.0,5200.0,2452.0,,,,,2427.0,,5220.0,5220.0,,,
38.5894,-71.0,-73.0,-73.0,,,,,-73.0,,-75.0,-75.0,,,,2437.0,5200.0,2452.0,,,,,2427.0,,5220.0,5220.0,,,
40.6042,-72.0,-74.0,-70.0,,,,,-72.0,,-70.0,-70.0,,,,2437.0,5200.0,2452.0,,,,,2427.0,,5220.0,5220.0,,,
42.5957,-72.0,-74.0,-72.0,,,,,,,-72.0,-72.0,-73.0,,,2437.0,5200.0,2452.0,,,,,,,5220.0,5220.0,2462.0,,
44.5824,-72.0,-74.0,,,,-73.0,,,,-71.0,-71.0,-74.0,,,2437.0,5200.0,,,,2462.0,,,,5220.0,5220.0,2462.0,,
46.5928,-72.0,,-72.0,,,,-73.0,,,-72.0,-72.0,-73.0,,,2437.0,,2452.0,,,,2412.0,,,5220.0,5220.0,2462.0,,
