error stat (m)
median: 2.44 m
mean: 3.52 m
rms: 5.21 m
90th perc.: 6.00 m
75th perc.: 4.35 m

Errors per ref position
01	0005.007
02	0005.768
03	0000.964
04	0001.340
05	0002.445
06	0001.491
07	0002.448
08	0002.143
09	0001.838
10	0002.979
11	0006.137
12	0005.790
13	0002.594
14	0023.541
15	0008.402
16	0004.992
17	0002.115
18	0001.769
19	0002.251
20	0002.225
21	0000.508
22	0001.853
23	0000.862
24	0002.301
25	0004.229
26	0000.974
27	0003.063
28	0000.650
29	0003.018
30	0001.304
31	0001.921
32	0002.381
33	0002.871
34	0004.699
35	0001.782
36	0002.550
37	0004.101
38	0017.232
39	0017.062
40	0002.076
41	0001.443
42	0001.145
43	0002.582
44	0003.265
45	0004.338
46	0006.088
47	0003.038
48	0002.851
49	0001.343
50	0001.380
51	0001.538
52	0001.902
53	0000.633
54	0001.602
55	0000.403
56	0003.503
57	0004.790
58	0000.284
59	0004.373
60	0000.607
61	0002.538
62	0007.784
63	0005.867
64	0004.018
65	0004.432
66	0004.875
67	0001.418
68	0001.767
69	0001.649
