AppTimestamp(s),ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:05,ble_rssi_BE:AC:20:23:00:06
0.0871,,,,-73.0
0.1395,-95.0,,,
0.3062,-89.0,,,
0.3829,,-90.0,,
0.4476,,,,-73.0
0.664,,,,-72.0
0.7264,-89.0,,,
0.8575,,,,-77.0
0.9238,-84.0,,,
1.0633,,,,-83.0
1.3467,-86.0,,,
1.4649,,,,-86.0
1.5444,-86.0,,,
1.5913,,-92.0,,
1.6752,,,,-78.0
1.7505,-93.0,,,
1.8772,,,,-69.0
1.9572,-96.0,,,
2.0357,,-93.0,,
2.1065,,,,-77.0
2.3668,-87.0,,,
2.6874,,,,-72.0
3.1837,-90.0,,,
3.2279,,-92.0,,
3.3078,,,,-72.0
3.4301,,-90.0,,
3.9256,,,,-77.0
4.0813,,,-95.0,
4.1371,,,,-71.0
4.5385,,,,-78.0
4.877,,,-94.0,
5.052,-86.0,,,
5.1545,,,,-76.0
5.2298,-91.0,,,
5.2881,,,-93.0,
5.3576,,,,-77.0
5.5682,,,,-78.0
5.689,,-89.0,,
5.7109,,,-90.0,
5.8435,-92.0,,,
6.1939,,-93.0,,
6.4709,-90.0,,,
6.7073,,-88.0,,
7.3207,,-93.0,,
7.4043,,,,-79.0
7.4708,-90.0,,,
7.5169,,-92.0,,
7.6103,,,,-77.0
7.8384,,,,-73.0
7.8882,-93.0,,,
7.9366,,-96.0,,
8.0258,,,,-86.0
8.0873,-94.0,,,
8.1437,,-91.0,,
8.2378,,,,-73.0
8.2877,-86.0,,,
8.3569,,-92.0,,
8.5623,,-96.0,,
8.6587,,,,-75.0
8.7553,,-89.0,,
8.9591,,-88.0,,
9.0717,,,,-77.0
9.1629,,-96.0,,
9.2717,,,,-72.0
9.4704,,,,-77.0
9.6737,,,,-80.0
9.7733,,-92.0,,
9.8884,,,,-93.0
9.9776,,-87.0,,
10.0046,,,-92.0,
10.3882,,-89.0,,
10.4941,,,,-77.0
11.223,,-86.0,,
11.8194,,-84.0,,
11.8426,,,-93.0,
11.9236,,,,-78.0
11.9738,-87.0,,,
12.0279,,-88.0,,
12.229,,-95.0,,
12.3337,,,,-79.0
12.3675,-94.0,,,
12.5406,,,,-75.0
12.651,,-89.0,,
12.7518,,,,-75.0
12.7722,-93.0,,,
12.8722,,,-96.0,
12.9505,,,,-73.0
12.9834,-85.0,,,
13.1685,,,,-78.0
13.1885,-91.0,,,
13.5561,,,,-72.0
13.7006,,,-90.0,
13.9841,,,,-66.0
14.5201,,,-93.0,
15.3495,,,-93.0,
15.4035,,,,-81.0
15.4368,-90.0,,,
15.6044,,,,-75.0
15.8434,-92.0,,,
16.1253,,-91.0,,
16.1838,,,-96.0,
16.424,,,,-75.0
16.7481,,-95.0,,
17.4571,,,,-77.0
18.2756,,,,-82.0
19.0201,,-86.0,,
19.8637,,-94.0,,
19.9058,,,,-78.0
19.9496,-95.0,,,
20.1034,,,,-76.0
20.2994,,,,-79.0
20.5109,,,,-80.0
20.698,,,-94.0,
20.7165,,,,-77.0
21.1226,,,,-76.0
21.3184,,,,-78.0
21.9375,,,,-79.0
22.2156,-86.0,,,
22.8291,-82.0,,,
23.5267,,-93.0,,
23.566,,,,-84.0
24.0688,-89.0,,,
24.1744,,,,-81.0
24.2698,-82.0,,,
24.4736,-87.0,,,
24.5397,,-95.0,,
24.7507,,-95.0,,
24.961,,-92.0,,
25.1994,,,,-76.0
25.2108,,,-96.0,
25.2969,-93.0,,,
25.4129,,,,-78.0
25.5,-97.0,,,
