AppTimestamp(s),Latitude_degrees,Longitude_degrees
61.4855,49.46108781,11.11083248
67.1124,49.46107372,11.11077433
73.2217,49.46105793,11.11070973
80.3554,49.46110224,11.11066878
89.4746,49.461172,11.11062859
98.7094,49.46114717,11.11052686
106.013,49.46110144,11.11055322
157.12,49.46110144,11.11055322
164.1154,49.46114717,11.11052686
173.4913,49.461172,11.11062859
183.4793,49.46110224,11.11066878
189.4299,49.46105793,11.11070973
195.3402,49.46107372,11.11077433
200.3415,49.46108781,11.11083248
