AppTimestamp(s),MAC,Frequency,RSSI
0.7227,20:23:00:00:01:62,2437,-70
0.7227,20:23:00:00:00:01,2437,-88
0.7227,20:23:00:00:00:90,2437,-90
0.7227,20:23:00:00:01:93,2412,-95
2.6711,20:23:00:00:01:62,2437,-62
2.6711,20:23:00:00:00:90,2437,-81
2.6711,20:23:00:00:00:01,2437,-90
2.6711,20:23:00:00:01:93,2412,-95
4.661,20:23:00:00:01:62,2437,-68
4.661,20:23:00:00:00:90,2437,-78
4.661,20:23:00:00:00:01,2437,-86
4.661,20:23:00:00:01:81,2462,-93
4.661,20:23:00:00:01:82,2462,-95
4.661,20:23:00:00:01:93,2412,-97
6.6538,20:23:00:00:01:62,2437,-61
6.6538,20:23:00:00:00:90,2437,-80
6.6538,20:23:00:00:00:01,2437,-86
6.6538,20:23:00:00:03:25,2437,-88
6.6538,20:23:00:00:01:93,2412,-90
6.6538,20:23:00:00:01:89,2412,-91
8.7138,20:23:00:00:01:62,2437,-70
8.7138,20:23:00:00:00:01,2437,-87
8.7138,20:23:00:00:00:90,2437,-88
10.6565,20:23:00:00:01:62,2437,-66
10.6565,20:23:00:00:00:01,2437,-85
10.6565,20:23:00:00:00:90,2437,-89
10.6565,20:23:00:00:03:25,2437,-92
10.6565,20:23:00:00:01:92,2412,-94
12.6472,20:23:00:00:01:62,2437,-66
12.6472,20:23:00:00:00:90,2437,-85
12.6472,20:23:00:00:01:89,2412,-91
12.6472,20:23:00:00:00:01,2437,-92
12.6472,20:23:00:00:01:93,2412,-92
12.6472,20:23:00:00:01:92,2412,-92
14.6776,20:23:00:00:01:62,2437,-70
14.6776,20:23:00:00:00:90,2437,-85
14.6776,20:23:00:00:00:01,2437,-91
14.6776,20:23:00:00:03:25,2437,-91
14.6776,20:23:00:00:01:96,2412,-92
16.6735,20:23:00:00:01:62,2437,-64
16.6735,20:23:00:00:00:90,2437,-83
16.6735,20:23:00:00:01:92,2412,-92
16.6735,20:23:00:00:00:09,5200,-93
18.6572,20:23:00:00:01:62,2437,-61
18.6572,20:23:00:00:00:90,2437,-84
18.6572,20:23:00:00:00:01,2437,-91
18.6572,20:23:00:00:01:92,2412,-93
20.6604,20:23:00:00:01:62,2437,-72
20.6604,20:23:00:00:00:90,2437,-80
20.6604,20:23:00:00:00:01,2437,-85
20.6604,20:23:00:00:01:93,2412,-89
20.6604,20:23:00:00:01:89,2412,-91
22.6545,20:23:00:00:01:62,2437,-65
22.6545,20:23:00:00:00:90,2437,-82
22.6545,20:23:00:00:00:01,2437,-84
22.6545,20:23:00:00:01:93,2412,-89
22.6545,20:23:00:00:01:92,2412,-90
22.6545,20:23:00:00:01:89,2412,-91
24.6721,20:23:00:00:01:62,2437,-68
24.6721,20:23:00:00:00:90,2437,-81
24.6721,20:23:00:00:01:93,2412,-90
24.6721,20:23:00:00:01:92,2412,-90
24.6721,20:23:00:00:01:89,2412,-90
24.6721,20:23:00:00:00:01,2437,-91
26.6464,20:23:00:00:01:62,2437,-70
26.6464,20:23:00:00:00:90,2437,-79
26.6464,20:23:00:00:00:01,2437,-86
28.6622,20:23:00:00:01:62,2437,-61
28.6622,20:23:00:00:00:90,2437,-83
28.6622,20:23:00:00:00:01,2437,-86
30.6574,20:23:00:00:01:62,2437,-64
30.6574,20:23:00:00:00:90,2437,-77
32.6442,20:23:00:00:01:62,2437,-71
32.6442,20:23:00:00:00:90,2437,-79
32.6442,20:23:00:00:00:01,2437,-87
32.6442,20:23:00:00:00:73,2437,-93
34.6581,20:23:00:00:01:62,2437,-72
