AppTimestamp(s),ble_rssi_BE:AC:20:23:00:03,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:06
80.3077,,,-95.0
82.5167,,,-99.0
82.7271,,,-95.0
84.1525,,,-98.0
84.5833,,,-94.0
86.6344,,,-91.0
88.054,,,-88.0
88.6604,,,-97.0
89.0837,,,-95.0
89.2766,,,-93.0
89.7092,,,-89.0
90.1047,,,-87.0
90.3087,,,-90.0
90.5179,,,-90.0
90.7045,,,-86.0
91.125,,,-86.0
92.1423,,,-89.0
94.211,,,-92.0
94.41,,,-86.0
94.6171,,,-88.0
96.0461,,,-93.0
96.4511,,,-95.0
96.654,,,-99.0
97.6826,,,-101.0
98.0955,,,-96.0
100.3496,,,-96.0
102.1609,-96.0,,
106.0926,-88.0,,
106.5087,-95.0,,
106.6911,-94.0,,
107.3329,-93.0,,
107.5136,-88.0,,
107.7126,-90.0,,
107.914,-88.0,,
108.3297,-88.0,,
108.5289,-86.0,,
110.1728,-89.0,,
110.3723,-83.0,,
110.3865,,-97.0,
110.5768,-81.0,,
111.5965,-91.0,,
112.0432,,,-96.0
116.1082,-93.0,,
118.1579,-95.0,,
118.5715,-92.0,,
118.972,-92.0,,
119.1709,-94.0,,
119.6063,-93.0,,
119.9952,-92.0,,
120.1895,-94.0,,
120.4044,-90.0,,
120.4276,,,-102.0
120.6118,-96.0,,
122.045,-94.0,,
122.4467,-94.0,,
123.0612,-93.0,,
123.859,-97.0,,
124.2794,-96.0,,
124.7461,,,-98.0
126.3297,-95.0,,
128.168,-94.0,,
128.5754,-93.0,,
128.6103,,,-98.0
130.004,-93.0,,
130.0812,,,-98.0
130.2018,-94.0,,
130.4639,,,-99.0
132.1085,-93.0,,
132.2465,-97.0,,
132.4441,-93.0,,
132.5272,,,-98.0
132.6524,-93.0,,
133.974,,,-97.0
134.4882,-93.0,,
136.1287,-99.0,,
136.2268,,,-98.0
136.3318,-93.0,,
136.5465,-93.0,,
138.1734,-96.0,,
138.3757,-92.0,,
138.6144,-98.0,,
140.0302,-98.0,,
140.2001,-95.0,,
140.4152,-97.0,,
140.6133,-96.0,,
142.0535,-97.0,,
144.1279,-91.0,,
144.5267,-95.0,,
146.165,-101.0,,
146.3835,-93.0,,
146.5922,-98.0,,
146.7104,,,-96.0
148.006,-100.0,,
148.1265,,,-95.0
148.5383,,,-96.0
148.7429,,,-98.0
149.2371,-102.0,,
150.3637,,,-96.0
150.5639,,,-91.0
150.9832,,,-93.0
151.1872,,,-96.0
151.4016,,,-98.0
151.601,,,-93.0
152.2154,,,-91.0
152.8466,,,-97.0
154.0671,,,-96.0
154.2684,,,-87.0
154.4771,,,-92.0
154.6784,,,-97.0
154.934,,,-91.0
155.1008,,,-98.0
155.3078,,,-89.0
155.9293,,,-94.0
156.1225,,,-94.0
156.5364,,,-90.0
156.7337,,,-84.0
157.7748,,,-94.0
158.1645,,,-93.0
158.3888,,,-86.0
158.7947,,,-94.0
158.9902,,,-84.0
159.1936,,,-91.0
159.6106,,,-93.0
160.0585,,,-91.0
160.6332,,,-90.0
160.8613,,,-93.0
162.0922,,,-98.0
162.9413,,,-96.0
163.2965,,,-90.0
163.5062,,,-91.0
164.3344,,,-93.0
164.5323,,,-94.0
164.7377,,,-94.0
168.6421,,,-103.0
170.0574,,,-102.0
