AppTimestamp(s),Latitude_degrees,Longitude_degrees
61.0362,49.46105277,11.11105204
75.1972,49.46108654,11.11120864
84.0559,49.46111244,11.11131808
101.5429,49.46120206,11.11150941
108.2749,49.46122192,11.1115901
115.4139,49.46127452,11.111561
122.1825,49.46132723,11.11158137
157.7382,49.46132723,11.11158137
164.4031,49.46127452,11.111561
171.5462,49.46122192,11.1115901
179.4675,49.46120206,11.11150941
198.7901,49.46111244,11.11131808
208.2788,49.46108654,11.11120864
221.5762,49.46105277,11.11105204
