AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:03,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:26,wifi_rssi_20:23:00:00:00:27,wifi_rssi_20:23:00:00:00:28,wifi_rssi_20:23:00:00:00:30,wifi_rssi_20:23:00:00:00:34,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:91,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:93,wifi_rssi_20:23:00:00:00:94,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:00:99,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:02,wifi_rssi_20:23:00:00:01:03,wifi_rssi_20:23:00:00:01:04,wifi_rssi_20:23:00:00:01:05,wifi_rssi_20:23:00:00:01:06,wifi_rssi_20:23:00:00:01:07,wifi_rssi_20:23:00:00:01:08,wifi_rssi_20:23:00:00:01:09,wifi_rssi_20:23:00:00:01:10,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:13,wifi_rssi_20:23:00:00:01:14,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:17,wifi_rssi_20:23:00:00:01:18,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:22,wifi_rssi_20:23:00:00:01:23,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:28,wifi_rssi_20:23:00:00:01:29,wifi_rssi_20:23:00:00:01:31,wifi_rssi_20:23:00:00:01:35,wifi_rssi_20:23:00:00:01:39,wifi_rssi_20:23:00:00:01:41,wifi_rssi_20:23:00:00:01:43,wifi_rssi_20:23:00:00:01:45,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:51,wifi_rssi_20:23:00:00:01:58,wifi_rssi_20:23:00:00:01:66,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:72,wifi_rssi_20:23:00:00:01:75,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:02:15,wifi_rssi_20:23:00:00:02:54,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:13,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:03,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:26,wifi_freq_20:23:00:00:00:27,wifi_freq_20:23:00:00:00:28,wifi_freq_20:23:00:00:00:30,wifi_freq_20:23:00:00:00:34,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:91,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:93,wifi_freq_20:23:00:00:00:94,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:00:99,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:02,wifi_freq_20:23:00:00:01:03,wifi_freq_20:23:00:00:01:04,wifi_freq_20:23:00:00:01:05,wifi_freq_20:23:00:00:01:06,wifi_freq_20:23:00:00:01:07,wifi_freq_20:23:00:00:01:08,wifi_freq_20:23:00:00:01:09,wifi_freq_20:23:00:00:01:10,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:13,wifi_freq_20:23:00:00:01:14,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:17,wifi_freq_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:22,wifi_freq_20:23:00:00:01:23,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:28,wifi_freq_20:23:00:00:01:29,wifi_freq_20:23:00:00:01:31,wifi_freq_20:23:00:00:01:35,wifi_freq_20:23:00:00:01:39,wifi_freq_20:23:00:00:01:41,wifi_freq_20:23:00:00:01:43,wifi_freq_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:51,wifi_freq_20:23:00:00:01:58,wifi_freq_20:23:00:00:01:66,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:72,wifi_freq_20:23:00:00:01:75,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:02:15,wifi_freq_20:23:00:00:02:54,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:13,wifi_freq_20:23:00:00:03:25
0.2007,-66.0,,-81.0,,-57.0,,,,,,,,-64.0,-71.0,,-69.0,-74.0,-83.0,-73.0,-61.0,-61.0,-69.0,-70.0,-91.0,,,,,,-90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76.0,2437.0,,5200.0,,2452.0,,,,,,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0
2.1704,-75.0,,,-90.0,-53.0,,-93.0,,,,,,-68.0,-72.0,,-64.0,-69.0,-84.0,-72.0,-61.0,-62.0,-69.0,-65.0,-92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.0,2437.0,,,2417.0,2452.0,,2412.0,,,,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0
4.1547,-72.0,,-83.0,,-55.0,,,,,,,,-64.0,-75.0,,-64.0,-78.0,-81.0,-75.0,-63.0,-63.0,-64.0,-63.0,,,,,,,,,,,,,,,,,,,,,,,,,,-89.0,-89.0,,,-89.0,,-90.0,,,-90.0,,,,,,,,,,,,,,,,,,,,,,-77.0,2437.0,,5200.0,,2452.0,,,,,,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,5500.0,,,5500.0,,5500.0,,,5500.0,,,,,,,,,,,,,,,,,,,,,,2437.0
6.17,-74.0,,,,-56.0,,-89.0,,,,,,-72.0,-69.0,,-59.0,-75.0,-87.0,-74.0,-63.0,-63.0,-73.0,-63.0,,,,,,,,,,,,,,,,,,,,,,-92.0,-94.0,,,-90.0,,,,,-89.0,,,,,,,,,,,,,,,,,,,,,,,,,,-67.0,2437.0,,,,2452.0,,2412.0,,,,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,,,,,5240.0,5240.0,,,5500.0,,,,,5500.0,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0
8.1733,-79.0,,-78.0,,-53.0,-91.0,,,,,,,-62.0,-68.0,-93.0,-63.0,-77.0,-84.0,-75.0,-66.0,-66.0,-63.0,-65.0,-90.0,,,,,,,,,,,,,,,,,,,,,,,,,-89.0,,,,,,,,,-88.0,,,,,,,,,,,,,,,,,,,,,,-77.0,2437.0,,5200.0,,2452.0,2462.0,,,,,,,2462.0,2412.0,2462.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,,,,,,,,,5500.0,,,,,,,,,,,,,,,,,,,,,,2437.0
10.1975,-74.0,-94.0,,-87.0,-49.0,,-91.0,,,,,,-57.0,-72.0,,-69.0,-73.0,-82.0,-76.0,-63.0,-63.0,-64.0,-66.0,,,,,,,,,,,,-93.0,,,,,,,,,,,,,,-87.0,-88.0,,,-87.0,-86.0,-87.0,,,-88.0,,,,,,,,,,,,,,,,,,,,,,-78.0,2437.0,5200.0,,2417.0,2452.0,,2412.0,,,,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,2462.0,,,,,,,,,,,,,,5500.0,5500.0,,,5500.0,5500.0,5500.0,,,5500.0,,,,,,,,,,,,,,,,,,,,,,2437.0
12.1815,-68.0,,-82.0,-91.0,-55.0,,,,,,,,-65.0,-72.0,,-62.0,-74.0,-84.0,-74.0,-60.0,-60.0,-66.0,-61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-89.0,,,,,-89.0,,,-89.0,,,,,,,,,,,,,,,,,,,,,,-78.0,2437.0,,5200.0,2417.0,2452.0,,,,,,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,,,,,5500.0,,,5500.0,,,,,,,,,,,,,,,,,,,,,,2437.0
14.1943,-79.0,,-81.0,-90.0,-48.0,,,,,,,,-62.0,-77.0,,-65.0,-77.0,-88.0,-74.0,-58.0,-58.0,-62.0,-62.0,-86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-90.0,,,,,,,,,,,,,,,,,,,,,,-72.0,2437.0,,5200.0,2417.0,2452.0,,,,,,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,,,,,,,,,,,,,,,,,,,,,,2437.0
16.1559,-74.0,,-85.0,-90.0,-62.0,,,,,,,,-72.0,-76.0,,-62.0,-70.0,-81.0,-77.0,-66.0,-66.0,-74.0,-62.0,-92.0,,,,,,,,,,,,,,,,,,,,,,,,,-89.0,,,,,-88.0,-91.0,,,,,,,,,,,,,,,,,,,,,,,,,-78.0,2437.0,,5200.0,2417.0,2452.0,,,,,,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,,,,,5500.0,5500.0,,,,,,,,,,,,,,,,,,,,,,,,,2437.0
18.1663,-76.0,,-78.0,,-63.0,,-91.0,,,,,,-68.0,-70.0,,-64.0,-75.0,-86.0,-64.0,-63.0,-63.0,-70.0,-67.0,,,,,,,,,,,,,,,,,,,,,,,,,,-91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72.0,2437.0,,5200.0,,2452.0,,2412.0,,,,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0
