AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:91,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:94,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:10,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:18,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:31,wifi_rssi_20:23:00:00:01:32,wifi_rssi_20:23:00:00:01:34,wifi_rssi_20:23:00:00:01:38,wifi_rssi_20:23:00:00:01:39,wifi_rssi_20:23:00:00:01:40,wifi_rssi_20:23:00:00:01:45,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:01:60,wifi_rssi_20:23:00:00:01:64,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:91,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:94,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:10,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:31,wifi_freq_20:23:00:00:01:32,wifi_freq_20:23:00:00:01:34,wifi_freq_20:23:00:00:01:38,wifi_freq_20:23:00:00:01:39,wifi_freq_20:23:00:00:01:40,wifi_freq_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:60,wifi_freq_20:23:00:00:01:64,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:25
3.8114,,,-44.0,-77.0,,,,-84.0,-77.0,-74.0,,-73.0,-86.0,-85.0,-76.0,,-80.0,,,,,,-87.0,,,,-88.0,,,,,,,,,,,,,,,,,,,-69.0,,,,2417.0,2452.0,,,,2412.0,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,2462.0,,,,5240.0,,,,,,,,,,,,,,,,,,,2462.0,
7.8204,,,-44.0,-77.0,,,-77.0,-85.0,-77.0,-70.0,-74.0,-65.0,-84.0,-85.0,-77.0,,-80.0,-92.0,,,,,,,,-89.0,,,,,,,,,,,,,,,,,,,,-69.0,,,,2417.0,2452.0,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,2412.0,,,,,,,,2412.0,,,,,,,,,,,,,,,,,,,,2462.0,
11.8007,,,,-75.0,,,-77.0,,-81.0,-70.0,-79.0,-64.0,-84.0,-85.0,-78.0,,-77.0,,,,,,,,,,-87.0,,,,,,,,,,,,,,,,,,,-69.0,,,,,2452.0,,,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,,5240.0,,,,,,,,,,,,,,,,,,,2462.0,
15.8238,,,-51.0,-76.0,,,,,-75.0,-68.0,-70.0,-70.0,-84.0,-84.0,,,-78.0,,,,,,,,,-90.0,-87.0,,,,,,,,,,,,,,,,,,,-70.0,,,,2417.0,2452.0,,,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,,2437.0,,,,,,,,,2412.0,5240.0,,,,,,,,,,,,,,,,,,,2462.0,
19.802,-83.0,,-50.0,-79.0,,,-76.0,,-79.0,-75.0,-78.0,-73.0,-84.0,-83.0,-75.0,,-79.0,,,,,-90.0,,,,,-87.0,,,,,,,,,,,,,,,,,,,-76.0,,2437.0,,2417.0,2452.0,,,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,2437.0,,,,,5240.0,,,,,,,,,,,,,,,,,,,2462.0,
23.8172,,,-50.0,-79.0,,,-77.0,-85.0,-81.0,-79.0,-77.0,-69.0,-84.0,-84.0,-77.0,,-83.0,,,,-91.0,,-89.0,,,,-91.0,-92.0,,,,,,,,,,,,,,,,,,-75.0,,,,2417.0,2452.0,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,2437.0,,2462.0,,,,5240.0,5240.0,,,,,,,,,,,,,,,,,,2462.0,
27.8013,,,-48.0,-74.0,,,-74.0,,-72.0,-76.0,-71.0,-73.0,-84.0,-84.0,,,-79.0,,,,,,,,-79.0,-86.0,-88.0,,,,,,,,,,,,,,,,,,,-75.0,,,,2417.0,2452.0,,,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,,2437.0,,,,,,,,2462.0,2412.0,5240.0,,,,,,,,,,,,,,,,,,,2462.0,
31.8391,,,-56.0,-77.0,,-89.0,-74.0,-86.0,-77.0,-76.0,-74.0,-67.0,-83.0,-82.0,-76.0,,-85.0,,,,,,,,-84.0,,,,,,,,,,,,,,,,,,,,,-78.0,,,,2417.0,2452.0,,2412.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,2462.0,,,,,,,,,,,,,,,,,,,,,2462.0,
35.8254,,,-49.0,,,,-77.0,,-76.0,-76.0,-78.0,-65.0,-85.0,-87.0,-76.0,,,-90.0,,,-88.0,-89.0,,,,,,,,,,,,,,,,,,,,,,,,-74.0,,,,2417.0,,,,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2412.0,,,2437.0,2437.0,,,,,,,,,,,,,,,,,,,,,,,,2462.0,
39.838,-81.0,,-49.0,-80.0,,,-73.0,,-72.0,-74.0,-74.0,-69.0,-84.0,-83.0,-73.0,,-76.0,,,-95.0,,,,-88.0,,,,-86.0,,,,,,,,,,,-89.0,,,,,,,-75.0,,2437.0,,2417.0,2452.0,,,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,2457.0,,,,2472.0,,,,5240.0,,,,,,,,,,,2412.0,,,,,,,2462.0,
