AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:03:11
3.8114,,-44.0,-77.0,,-84.0,-77.0,-74.0,,-73.0,,-85.0,-76.0,-80.0,,-69.0,,2417.0,2452.0,,2412.0,2427.0,2437.0,,2437.0,,5220.0,2462.0,2437.0,,2462.0
7.8204,,-44.0,-77.0,-77.0,,-77.0,-70.0,-74.0,-65.0,,,-77.0,-80.0,,-69.0,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0,,2462.0
11.8007,,,-75.0,-77.0,,-81.0,-70.0,-79.0,-64.0,-84.0,,-78.0,-77.0,,-69.0,,,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,,2462.0,2437.0,,2462.0
15.8238,,-51.0,-76.0,,,-75.0,-68.0,-70.0,-70.0,-84.0,-84.0,,-78.0,,-70.0,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,2437.0,,2462.0
19.802,,-50.0,-79.0,-76.0,,-79.0,-75.0,-78.0,-73.0,,,-75.0,-79.0,,-76.0,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0,,2462.0
23.8172,,-50.0,-79.0,-77.0,,-81.0,-79.0,-77.0,-69.0,,,-77.0,-83.0,,-75.0,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0,,2462.0
27.8013,,-48.0,-74.0,-74.0,,-72.0,-76.0,-71.0,-73.0,,,,-79.0,-79.0,-75.0,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,,,2437.0,2462.0,2462.0
31.8391,,-56.0,-77.0,-74.0,,-77.0,-76.0,-74.0,-67.0,,-82.0,-76.0,,,-78.0,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,5220.0,2462.0,,,2462.0
35.8254,,-49.0,,-77.0,,-76.0,-76.0,-78.0,-65.0,-85.0,-87.0,-76.0,,,-74.0,,2417.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2462.0
39.838,,-49.0,-80.0,-73.0,,-72.0,-74.0,-74.0,-69.0,,,-73.0,-76.0,,-75.0,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0,,2462.0
43.8168,,-50.0,-77.0,-75.0,,-75.0,-73.0,-73.0,-69.0,,,-75.0,-76.0,,-78.0,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0,,2462.0
47.8179,,-53.0,-77.0,,,-76.0,-73.0,-73.0,-69.0,-83.0,,-74.0,-76.0,,-82.0,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,5220.0,,2462.0,2437.0,,2462.0
51.8441,,-53.0,-77.0,-74.0,,-78.0,-75.0,-70.0,-66.0,,,-72.0,-80.0,,-78.0,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0,,2462.0
55.802,,-50.0,-78.0,,,-80.0,-75.0,-70.0,-64.0,-87.0,,-74.0,-84.0,,-74.0,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,5220.0,,2462.0,2437.0,,2462.0
59.825,,-52.0,-77.0,,-84.0,-79.0,-75.0,-70.0,-64.0,,,-74.0,-81.0,,-77.0,,2417.0,2452.0,,2412.0,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0,,2462.0
63.8176,,-49.0,-76.0,-75.0,,,-74.0,-72.0,-64.0,-83.0,-82.0,-76.0,,,-79.0,,2417.0,2452.0,2462.0,,,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2462.0
67.7975,,-49.0,-80.0,-76.0,,-79.0,-77.0,-74.0,-64.0,,,-77.0,-81.0,,-76.0,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0,,2462.0
71.8167,,-45.0,-75.0,,,,-68.0,-69.0,-67.0,-84.0,-83.0,-74.0,-82.0,,-60.0,,2417.0,2452.0,,,,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2437.0,,2462.0
75.7927,-80.0,-45.0,-79.0,,,-67.0,-68.0,-69.0,-64.0,,,,-74.0,-77.0,-67.0,2437.0,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,,,,2437.0,2462.0,2462.0
