AppTimestamp(s),Latitude_degrees,Longitude_degrees
64.2098,49.46132723,11.11158137
69.971,49.46131767,11.11151533
75.0305,49.46130547,11.11145118
83.0631,49.46128262,11.11135671
88.0464,49.46131622,11.1113369
93.5071,49.46133008,11.11139407
98.5663,49.46129647,11.11141369
131.4708,49.46129647,11.11141369
135.9527,49.46133008,11.11139407
141.051,49.46131622,11.1113369
145.8326,49.46128262,11.11135671
153.9726,49.46130547,11.11145118
158.7017,49.46131767,11.11151533
164.092,49.46132723,11.11158137
