AppTimestamp(s),ble_rssi_BE:AC:20:23:00:01,ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:03,ble_rssi_BE:AC:20:23:00:04
0.1656,-88.0,,,
0.2555,,-75.0,,
0.3697,-85.0,,,
0.4749,,-74.0,,
0.5777,-91.0,,,
0.6769,,-83.0,,
0.789,-93.0,,,
0.8545,,-91.0,,
0.9884,-86.0,,,
1.0759,,-72.0,,
1.1967,-88.0,,,
1.6335,-86.0,,,
1.6722,,-73.0,,
1.795,-85.0,,,
1.9071,,-75.0,,
2.0112,-87.0,,,
2.2541,-85.0,,,
2.3209,,-72.0,,
2.4368,-86.0,,,
2.5119,,-71.0,,
2.725,,-67.0,,
2.8296,-85.0,,,
2.9238,,-68.0,,
3.0675,-81.0,,,
3.339,,-82.0,,
3.5424,,-75.0,,
3.6619,-88.0,,,
3.7414,,-75.0,,
3.8424,-89.0,,,
3.9625,,-76.0,,
4.05,-92.0,,,
4.1457,,-71.0,,
4.3171,-88.0,,,
4.4771,-97.0,,,
4.5534,,-76.0,,
4.758,,-72.0,,
4.9711,,-87.0,,
5.108,-91.0,,,
5.1729,,-84.0,,
5.3144,-86.0,,,
5.3708,,-75.0,,
5.4938,-93.0,,,
5.9067,-85.0,,,
6.0073,,-77.0,,
6.1061,-88.0,,,
6.2097,,-78.0,,
6.3061,-87.0,,,
6.3987,,-85.0,,
6.5156,-87.0,,,
6.6241,,-82.0,,
6.7393,-91.0,,,
6.8085,,-68.0,,
7.0397,,-68.0,,
7.7881,-87.0,,,
8.041,,-70.0,,
8.4734,,-78.0,,
8.5832,-86.0,,,
8.6699,,-73.0,,
8.9994,-90.0,,,
9.0753,,-87.0,,
9.2222,-93.0,,,
9.3144,,-73.0,,
9.3908,-86.0,,,
9.4897,,-69.0,,
9.6216,-86.0,,,
9.6772,,-70.0,,
9.8892,,-72.0,,
10.0863,,-75.0,,
10.2428,-87.0,,,
10.4157,-83.0,,,
10.5027,,-72.0,,
10.6304,-86.0,,,
10.8385,-86.0,,,
10.9012,,-70.0,,
11.6837,-85.0,,,
11.719,,-88.0,,
11.871,-93.0,,,
12.0551,-93.0,,,
12.1206,,-76.0,,
12.3053,-90.0,,,
12.3392,,-86.0,,
12.4798,-94.0,,,
12.6651,-93.0,,,
12.7746,,-72.0,,
12.8853,-93.0,,,
12.9783,,-68.0,,
13.3007,-92.0,,,
13.3749,,-74.0,,
13.4913,-91.0,,,
13.5658,,-78.0,,
13.6932,-91.0,,,
13.7654,,-78.0,,
14.3205,-93.0,,,
14.5942,,-85.0,,
15.9496,-90.0,,,
16.0393,,-77.0,,
16.3506,-90.0,,,
16.4249,,-72.0,,
16.617,,-74.0,,
16.8286,,-70.0,,
16.9937,-91.0,,,
17.0538,,-73.0,,
17.178,-87.0,,,
17.2675,,-74.0,,
17.3698,-95.0,,,
17.4315,,-77.0,,
17.5824,-89.0,,,
17.845,,-71.0,,
18.0561,,-69.0,,
18.2624,,-75.0,,
18.3665,,,,-95.0
18.4118,-93.0,,,
18.4499,,-73.0,,
19.2876,,-80.0,,
20.0434,-87.0,,,
20.0897,,-81.0,,
20.2823,-98.0,,,
20.3333,,-74.0,,
20.4527,-96.0,,,
20.6353,,,-100.0,
20.6609,-91.0,,,
20.7166,,-73.0,,
20.8733,-94.0,,,
20.9166,,-77.0,,
21.1436,,-82.0,,
21.2786,-93.0,,,
21.5147,-92.0,,,
21.953,,-74.0,,
22.1598,,-83.0,,
22.7865,,-78.0,,
23.3934,,-69.0,,
23.7513,-89.0,,,
23.8114,,-74.0,,
24.2216,,-70.0,,
24.3681,-92.0,,,
24.4071,,-83.0,,
24.6163,-88.0,,,
24.8346,,-75.0,,
25.0405,,-73.0,,
25.1978,-97.0,,,
25.251,,-71.0,,
25.3972,-92.0,,,
25.4371,,-69.0,,
25.621,-86.0,,,
25.6853,,-88.0,,
25.8539,,-78.0,,
26.0199,-91.0,,,
26.2303,-81.0,,,
26.2703,,-66.0,,
26.4265,-88.0,,,
26.6853,,-68.0,,
26.8467,-93.0,,,
27.0991,,-69.0,,
27.6582,-86.0,,,
27.6939,,-69.0,,
27.864,-92.0,,,
27.9064,,-76.0,,
28.3208,,-65.0,,
28.4786,-92.0,,,
28.5244,,-67.0,,
28.6839,-85.0,,,
28.7265,,-69.0,,
28.8977,-86.0,,,
28.9412,,-72.0,,
29.1144,-92.0,,,
29.142,,-74.0,,
29.3214,-97.0,,,
29.5033,-94.0,,,
29.5731,,-74.0,,
29.7035,-89.0,,,
29.7622,,-74.0,,
29.9196,-89.0,,,
29.9508,,-71.0,,
30.1224,-85.0,,,
30.3096,-94.0,,,
30.3545,,-70.0,,
30.5604,,-69.0,,
30.7744,,-69.0,,
30.9755,,-72.0,,
31.1372,-89.0,,,
31.8014,,-79.0,,
32.0252,-87.0,,,
32.039,,-70.0,,
32.1629,-87.0,,,
32.2029,,-72.0,,
32.5846,-87.0,,,
32.6192,,-72.0,,
32.7694,-89.0,,,
32.8233,,-75.0,,
33.0268,,-81.0,,
33.1762,-91.0,,,
33.248,,-74.0,,
33.3907,-89.0,,,
33.4411,,-76.0,,
33.8012,-91.0,,,
33.8457,,-72.0,,
34.0982,,-81.0,,
34.2213,-87.0,,,
34.2745,,-75.0,,
34.4368,-91.0,,,
34.4721,,-86.0,,
34.6188,-93.0,,,
35.8599,-86.0,,,
36.0534,-89.0,,,
36.098,,-73.0,,
36.7153,-95.0,,,
37.0936,-92.0,,,
37.1183,,-75.0,,
37.2985,-82.0,,,
37.5328,,-70.0,,
37.6907,-85.0,,,
37.7553,,-77.0,,
37.9495,,-70.0,,
38.1235,-90.0,,,
38.305,-90.0,,,
38.5503,-91.0,,,
38.5883,,-69.0,,
38.7117,-88.0,,,
38.7695,,-71.0,,
39.9564,-88.0,,,
40.0179,,-66.0,,
40.1514,-85.0,,,
40.2181,,-77.0,,
40.3515,-92.0,,,
40.4044,,-70.0,,
40.5645,-95.0,,,
40.6166,,-70.0,,
40.7855,-95.0,,,
40.8436,,-77.0,,
41.6603,,-77.0,,
41.8536,,-75.0,,
42.0706,,-76.0,,
42.2625,-83.0,,,
42.2812,,-73.0,,
42.4086,-83.0,,,
42.4704,,-72.0,,
42.6386,-91.0,,,
42.8169,-88.0,,,
42.8704,,-75.0,,
43.8363,-96.0,,,
43.9083,,-74.0,,
44.449,-96.0,,,
44.6985,-97.0,,,
44.7293,,-79.0,,
44.8511,-83.0,,,
44.9363,,-77.0,,
45.0911,-83.0,,,
45.1318,,-77.0,,
45.3384,,-75.0,,
45.7006,-92.0,,,
45.7485,,-79.0,,
45.951,,-74.0,,
46.1369,-83.0,,,
