AppTimestamp(s),MAC,Frequency,RSSI
1.0459,20:23:00:00:00:15,2452,-47
1.0459,20:23:00:00:00:88,2462,-51
1.0459,20:23:00:00:00:55,2427,-53
1.0459,20:23:00:00:00:44,2462,-55
1.0459,20:23:00:00:00:82,2462,-56
1.0459,20:23:00:00:00:45,2412,-62
5.0363,20:23:00:00:00:15,2452,-46
5.0363,20:23:00:00:00:55,2427,-55
5.0363,20:23:00:00:00:44,2462,-56
5.0363,20:23:00:00:00:82,2462,-56
5.0363,20:23:00:00:00:88,2462,-57
5.0363,20:23:00:00:00:79,5200,-60
9.0432,20:23:00:00:00:15,2452,-50
9.0432,20:23:00:00:00:88,2462,-53
9.0432,20:23:00:00:00:79,5200,-56
9.0432,20:23:00:00:00:80,5200,-57
9.0432,20:23:00:00:00:55,2427,-58
9.0432,20:23:00:00:00:44,2462,-60
13.0509,20:23:00:00:00:15,2452,-46
13.0509,20:23:00:00:00:88,2462,-53
13.0509,20:23:00:00:00:55,2427,-54
13.0509,20:23:00:00:00:44,2462,-54
13.0509,20:23:00:00:00:82,2462,-54
13.0509,20:23:00:00:03:25,2437,-62
17.0903,20:23:00:00:00:15,2452,-45
17.0903,20:23:00:00:00:55,2427,-50
17.0903,20:23:00:00:00:82,2462,-52
17.0903,20:23:00:00:00:44,2462,-53
17.0903,20:23:00:00:00:01,2437,-60
17.0903,20:23:00:00:00:45,2412,-60
21.0243,20:23:00:00:00:15,2452,-47
21.0243,20:23:00:00:00:55,2427,-54
21.0243,20:23:00:00:00:44,2462,-57
21.0243,20:23:00:00:00:82,2462,-57
21.0243,20:23:00:00:03:25,2437,-60
21.0243,20:23:00:00:00:88,2462,-62
25.0436,20:23:00:00:00:15,2452,-47
25.0436,20:23:00:00:00:55,2427,-55
25.0436,20:23:00:00:00:44,2462,-57
25.0436,20:23:00:00:00:82,2462,-57
25.0436,20:23:00:00:00:88,2462,-57
25.0436,20:23:00:00:00:80,5200,-61
29.0298,20:23:00:00:00:15,2452,-47
29.0298,20:23:00:00:00:44,2462,-49
29.0298,20:23:00:00:00:82,2462,-50
29.0298,20:23:00:00:00:88,2462,-56
29.0298,20:23:00:00:00:55,2427,-58
29.0298,20:23:00:00:00:45,2412,-61
33.0814,20:23:00:00:00:15,2452,-48
33.0814,20:23:00:00:00:88,2462,-52
33.0814,20:23:00:00:00:44,2462,-53
33.0814,20:23:00:00:00:82,2462,-53
33.0814,20:23:00:00:00:55,2427,-55
33.0814,20:23:00:00:00:45,2412,-61
37.0293,20:23:00:00:00:15,2452,-47
37.0293,20:23:00:00:00:88,2462,-52
37.0293,20:23:00:00:00:44,2462,-53
37.0293,20:23:00:00:00:82,2462,-53
37.0293,20:23:00:00:00:55,2427,-55
37.0293,20:23:00:00:03:25,2437,-65
41.0596,20:23:00:00:00:15,2452,-46
41.0596,20:23:00:00:00:88,2462,-52
41.0596,20:23:00:00:00:55,2427,-56
41.0596,20:23:00:00:00:44,2462,-56
41.0596,20:23:00:00:00:82,2462,-56
41.0596,20:23:00:00:03:25,2437,-62
45.049,20:23:00:00:00:15,2452,-46
45.049,20:23:00:00:00:44,2462,-52
45.049,20:23:00:00:00:88,2462,-52
45.049,20:23:00:00:00:82,2462,-54
45.049,20:23:00:00:00:55,2427,-59
45.049,20:23:00:00:03:25,2437,-62
49.0474,20:23:00:00:00:15,2452,-46
49.0474,20:23:00:00:00:44,2462,-52
49.0474,20:23:00:00:00:82,2462,-53
49.0474,20:23:00:00:00:88,2462,-55
49.0474,20:23:00:00:00:55,2427,-59
49.0474,20:23:00:00:03:25,2437,-62
53.0141,20:23:00:00:00:15,2452,-46
53.0141,20:23:00:00:00:44,2462,-52
53.0141,20:23:00:00:00:82,2462,-53
53.0141,20:23:00:00:00:55,2427,-56
53.0141,20:23:00:00:00:88,2462,-57
53.0141,20:23:00:00:00:01,2437,-63
57.0295,20:23:00:00:00:15,2452,-45
57.0295,20:23:00:00:00:44,2462,-52
57.0295,20:23:00:00:00:82,2462,-53
57.0295,20:23:00:00:00:88,2462,-56
