AppTimestamp(s),Latitude_degrees,Longitude_degrees
61.2574,49.46105277,11.11105204
73.7024,49.46108654,11.11120864
81.9793,49.46111244,11.11131808
98.6513,49.46120206,11.11150941
105.0989,49.46122192,11.1115901
111.7012,49.46127452,11.111561
117.8212,49.46132723,11.11158137
153.622,49.46132723,11.11158137
159.8002,49.46127452,11.111561
166.0355,49.46122192,11.1115901
172.4767,49.46120206,11.11150941
187.7389,49.46111244,11.11131808
195.837,49.46108654,11.11120864
207.4248,49.46105277,11.11105204
