AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:06,wifi_rssi_20:23:00:00:00:07,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:26,wifi_rssi_20:23:00:00:00:27,wifi_rssi_20:23:00:00:00:28,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:93,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:01:01,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:06,wifi_freq_20:23:00:00:00:07,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:26,wifi_freq_20:23:00:00:00:27,wifi_freq_20:23:00:00:00:28,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:93,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:01:01
0.1323,-76.0,,,,-63.0,,,,,,,-77.0,,,,,,,,-78.0,,-81.0,,,,-83.0,2437.0,,,,2417.0,,,,,,,2462.0,,,,,,,,2462.0,,2462.0,,,,2462.0
4.0828,-80.0,,,,-66.0,-75.0,,,,,,-79.0,,,,,,-84.0,,-79.0,,,,,,,2437.0,,,,2417.0,2452.0,,,,,,2462.0,,,,,,5200.0,,2462.0,,,,,,
8.0944,-76.0,,,,-63.0,-79.0,,,,,,,,,-82.0,,-79.0,,-82.0,,,,,,,,2437.0,,,,2417.0,2452.0,,,,,,,,,2437.0,,2437.0,,5200.0,,,,,,,
12.085,-72.0,,,,-66.0,-80.0,,-79.0,,,,-82.0,,,,,-82.0,,,,,,,,,,2437.0,,,,2417.0,2452.0,,2412.0,,,,2462.0,,,,,2437.0,,,,,,,,,
16.1181,,,,,-69.0,-80.0,,,,,,-79.0,,,,,-79.0,,,-79.0,,,,,-80.0,,,,,,2417.0,2452.0,,,,,,2462.0,,,,,2437.0,,,2462.0,,,,,2437.0,
20.0803,-79.0,,,,-65.0,-76.0,,,,,,-80.0,,,,,,,-81.0,,,,,,-78.0,,2437.0,,,,2417.0,2452.0,,,,,,2462.0,,,,,,,5200.0,,,,,,2437.0,
24.089,,,,,-67.0,-80.0,,,,,,-79.0,,-81.0,,,,,,-80.0,,,,-81.0,,,,,,,2417.0,2452.0,,,,,,2462.0,,2427.0,,,,,,2462.0,,,,2437.0,,
28.1158,-71.0,,,,-67.0,,,,,,,-73.0,,-81.0,,,-78.0,,,-75.0,,,,,,,2437.0,,,,2417.0,,,,,,,2462.0,,2427.0,,,2437.0,,,2462.0,,,,,,
32.1083,-80.0,,,,-67.0,-81.0,,,,,,,,-78.0,,,-80.0,,,-78.0,,,,,,,2437.0,,,,2417.0,2452.0,,,,,,,,2427.0,,,2437.0,,,2462.0,,,,,,
36.1021,-76.0,,,,-69.0,-80.0,,,,,,,,,,,-80.0,,,-75.0,,,-83.0,,,,2437.0,,,,2417.0,2452.0,,,,,,,,,,,2437.0,,,2462.0,,,2437.0,,,
40.0831,-78.0,,,,,-80.0,,,,,,-80.0,,,,,-79.0,-81.0,,-79.0,,,,,,,2437.0,,,,,2452.0,,,,,,2462.0,,,,,2437.0,5200.0,,2462.0,,,,,,
44.0977,-72.0,,,,-67.0,-80.0,,,,,,,,-83.0,,,-81.0,,-83.0,,,,,,,,2437.0,,,,2417.0,2452.0,,,,,,,,2427.0,,,2437.0,,5200.0,,,,,,,
48.0859,,,,,-67.0,-78.0,,,,,,-78.0,,-82.0,,,-81.0,,,-79.0,,,,,,,,,,,2417.0,2452.0,,,,,,2462.0,,2427.0,,,2437.0,,,2462.0,,,,,,
52.1542,-73.0,,,,-67.0,,,,,,,-74.0,,-81.0,,,-81.0,,,,,,-82.0,,,,2437.0,,,,2417.0,,,,,,,2462.0,,2427.0,,,2437.0,,,,,,2437.0,,,
56.1112,,,,,-67.0,-82.0,,,,,,-76.0,,,,,-81.0,,,-77.0,,,,-82.0,,,,,,,2417.0,2452.0,,,,,,2462.0,,,,,2437.0,,,2462.0,,,,2437.0,,
60.1305,-77.0,,,,-71.0,,,,,,,-78.0,-74.0,,,,-82.0,,,-76.0,,,,,,,2437.0,,,,2417.0,,,,,,,2462.0,2412.0,,,,2437.0,,,2462.0,,,,,,
64.1215,-78.0,,,,-69.0,,,,,,,-80.0,,,,-86.0,,,,-81.0,,,-84.0,,,,2437.0,,,,2417.0,,,,,,,2462.0,,,,2422.0,,,,2462.0,,,2437.0,,,
68.1031,-74.0,,,,-72.0,-85.0,,,,,,-77.0,,-84.0,,,,,,,,-85.0,,,,,2437.0,,,,2417.0,2452.0,,,,,,2462.0,,2427.0,,,,,,,,2462.0,,,,
72.1288,-69.0,-82.0,,,,,-79.0,,,-73.0,-73.0,-84.0,,,,,,,,,,,,,,,2437.0,2462.0,,,,,2462.0,,,2412.0,2412.0,2462.0,,,,,,,,,,,,,,
