AppTimestamp(s),ble_rssi_BE:AC:20:23:00:01,ble_rssi_BE:AC:20:23:00:02
0.2119,-93.0,
0.4013,-87.0,
0.4873,,-74.0
0.5918,-85.0,
0.8913,,-65.0
1.7316,,-68.0
1.8452,-88.0,
1.9143,,-77.0
2.2397,-95.0,
2.3231,,-77.0
2.4436,-88.0,
2.654,-91.0,
2.7409,,-78.0
2.9855,,-76.0
3.1447,,-70.0
3.6089,,-71.0
3.6817,-88.0,
3.9125,-86.0,
3.97,,-83.0
4.0804,-92.0,
4.1607,,-81.0
4.285,-91.0,
4.3887,,-76.0
5.7999,,-78.0
5.9474,-97.0,
6.1457,-88.0,
6.2171,,-79.0
6.3518,-92.0,
6.6267,,-94.0
6.8342,,-72.0
6.9584,-91.0,
7.3792,-93.0,
7.4481,,-73.0
7.5826,-84.0,
7.6665,,-70.0
7.7862,-92.0,
7.9876,-89.0,
8.0691,,-76.0
8.2645,,-65.0
8.4767,,-83.0
8.6032,-90.0,
8.6848,,-72.0
8.8848,,-69.0
9.5161,,-69.0
9.7476,,-85.0
9.8171,-94.0,
9.9212,,-73.0
10.2265,-88.0,
10.4343,-90.0,
10.5398,,-69.0
10.6405,-97.0,
10.7484,,-77.0
10.9394,,-75.0
11.0585,-89.0,
11.1439,,-78.0
11.3677,,-75.0
11.466,-90.0,
11.5647,,-72.0
11.6491,-90.0,
11.7565,,-74.0
11.8554,-93.0,
11.9912,,-72.0
12.0706,-87.0,
12.1706,,-74.0
12.256,-95.0,
12.4063,,-73.0
12.5982,,-69.0
13.0041,,-70.0
13.0765,-87.0,
13.8238,,-78.0
13.8877,-85.0,
14.4442,,-89.0
14.6436,,-74.0
14.8611,,-67.0
14.9276,-96.0,
15.0433,,-74.0
15.2741,,-72.0
15.3384,-89.0,
15.462,,-71.0
15.5392,-88.0,
15.6607,,-74.0
15.7397,-91.0,
15.8645,,-77.0
16.0822,,-80.0
16.1476,-91.0,
16.279,,-72.0
16.3418,-90.0,
16.4944,,-80.0
16.6919,,-75.0
16.7585,-95.0,
17.5113,,-73.0
17.715,,-79.0
17.7858,-95.0,
17.9288,,-77.0
18.1279,,-75.0
18.3294,,-75.0
18.4217,-91.0,
18.5414,,-78.0
18.7408,,-75.0
18.9445,,-77.0
19.0215,-85.0,
19.3529,,-73.0
19.5486,,-72.0
19.6233,-94.0,
19.7539,,-72.0
20.3699,,-67.0
20.4635,-85.0,
20.5854,,-68.0
20.6605,-83.0,
21.0699,-96.0,
21.2195,,-78.0
21.4849,-88.0,
21.9284,-93.0,
22.0484,,-69.0
22.2359,,-74.0
22.2978,-87.0,
22.4346,,-78.0
22.73,-94.0,
22.853,,-77.0
22.9185,-91.0,
23.0525,,-77.0
23.1144,-89.0,
23.2503,,-76.0
23.3218,-91.0,
23.4644,,-80.0
23.7621,-89.0,
23.8857,,-66.0
23.9472,-85.0,
24.1452,-89.0,
24.2824,,-72.0
24.3535,-92.0,
24.4799,,-72.0
24.9168,,-64.0
25.5046,,-66.0
26.0002,-87.0,
26.1109,,-72.0
26.4339,-97.0,
26.521,,-73.0
26.6077,-89.0,
26.7345,,-73.0
26.8116,-89.0,
26.9367,,-78.0
27.1347,,-70.0
27.2452,-85.0,
27.3447,,-69.0
27.4543,-83.0,
27.6416,-91.0,
27.7575,,-84.0
27.99,,-71.0
28.0512,-89.0,
28.2547,-87.0,
28.379,,-83.0
28.4696,-96.0,
29.0867,-94.0,
29.1952,,-71.0
29.3999,,-72.0
29.8178,,-75.0
29.899,-85.0,
30.0073,,-71.0
30.2293,,-74.0
30.5237,-90.0,
30.6367,,-85.0
30.7174,-86.0,
30.8583,,-75.0
30.9151,-88.0,
31.0474,,-74.0
31.1175,-91.0,
31.2509,,-73.0
31.4525,,-69.0
31.6563,,-81.0
31.7463,-85.0,
31.8665,,-78.0
31.9662,-85.0,
32.0507,,-72.0
32.146,-88.0,
32.2627,,-72.0
32.3537,-89.0,
32.476,,-73.0
32.5613,-90.0,
32.7699,-85.0,
32.8802,,-70.0
33.6977,,-74.0
33.9041,,-79.0
33.9802,-85.0,
34.1234,,-78.0
34.1803,-85.0,
34.312,,-72.0
34.5184,,-72.0
34.6311,-87.0,
34.7333,,-75.0
34.8013,-85.0,
34.9301,,-76.0
35.0099,-85.0,
35.1373,,-73.0
35.2153,-84.0,
35.3517,,-73.0
35.4191,-90.0,
35.5438,,-73.0
35.6166,-88.0,
35.775,,-77.0
35.966,,-77.0
36.1711,,-78.0
36.2301,-84.0,
36.3638,,-80.0
36.4304,-85.0,
36.5644,,-73.0
36.7716,,-73.0
37.6796,-87.0,
37.8646,-87.0,
38.0092,,-81.0
38.1972,,-82.0
38.2892,-87.0,
38.4326,,-72.0
38.4779,-85.0,
38.6057,,-72.0
38.6866,-85.0,
38.838,,-75.0
38.8787,-88.0,
39.022,,-77.0
39.2925,-83.0,
39.424,,-86.0
39.5,-85.0,
39.629,,-71.0
40.0398,,-77.0
40.1285,-86.0,
40.4622,,-90.0
41.1313,-85.0,
42.1291,,-91.0
42.5428,,-74.0
42.5586,-85.0,
42.7187,,-75.0
42.948,,-75.0
43.1709,-87.0,
43.378,-86.0,
43.5955,-86.0,
44.1559,,-75.0
44.4016,,-79.0
44.431,-89.0,
44.5652,,-81.0
44.5976,-87.0,
44.7814,,-69.0
45.006,-84.0,
45.4099,,-78.0
46.4149,,-75.0
46.4565,-88.0,
46.6153,,-79.0
46.6741,-88.0,
46.8255,,-80.0
46.8726,-88.0,
47.0387,,-83.0
47.2834,-93.0,
47.4485,,-78.0
47.4812,-92.0,
47.8468,,-80.0
47.9007,-86.0,
48.0564,,-80.0
48.125,-91.0,
48.2559,,-81.0
48.5356,-91.0,
49.1127,,-84.0
49.7076,,-79.0
49.7398,-88.0,
50.3716,-93.0,
50.5168,,-79.0
50.7234,,-83.0
50.7664,-92.0,
50.9895,-91.0,
51.1423,,-79.0
51.3228,,-79.0
51.3662,-88.0,
51.5264,,-81.0
51.5866,-91.0,
51.7627,,-84.0
51.9871,,-77.0
52.5687,,-81.0
52.8085,-91.0,
53.0246,-86.0,
53.9792,,-85.0
54.19,,-74.0
54.6623,-88.0,
54.8295,,-79.0
54.8716,-91.0,
55.0099,,-79.0
55.2117,,-81.0
55.2935,-92.0,
55.8927,-87.0,
56.0413,,-81.0
56.2357,,-80.0
57.144,-91.0,
57.88,,-84.0
58.1295,-87.0,
58.5275,,-84.0
58.9135,,-85.0
59.1352,,-82.0
59.1617,-88.0,
59.3224,,-82.0
59.5366,,-78.0
