AppTimestamp(s),Latitude_degrees,Longitude_degrees
61.2018,49.46132723,11.11158137
67.1921,49.46131767,11.11151533
72.8737,49.46130547,11.11145118
81.4224,49.46128262,11.11135671
86.2451,49.46131622,11.1113369
91.3144,49.46133008,11.11139407
96.5772,49.46129647,11.11141369
128.4433,49.46129647,11.11141369
132.8061,49.46133008,11.11139407
137.6548,49.46131622,11.1113369
142.537,49.46128262,11.11135671
150.4229,49.46130547,11.11145118
155.2872,49.46131767,11.11151533
160.0653,49.46132723,11.11158137
