AppTimestamp(s),ble_rssi_BE:AC:20:23:00:01,ble_rssi_BE:AC:20:23:00:02
0.0604,,-78.0
1.6512,,-85.0
1.715,-94.0,
1.8493,,-84.0
2.1411,,-92.0
2.1577,-100.0,
3.4799,,-86.0
3.886,,-85.0
4.0922,,-79.0
4.1758,-99.0,
5.544,,-79.0
5.7696,,-84.0
5.9704,,-98.0
6.0365,-96.0,
6.7646,,-86.0
7.613,,-91.0
7.7819,,-81.0
7.9858,,-84.0
8.071,-95.0,
9.5114,-102.0,
9.6442,,-94.0
9.8445,,-88.0
10.0472,,-82.0
11.2784,,-85.0
11.4735,,-95.0
11.6857,,-88.0
11.8865,,-86.0
12.0847,,-93.0
12.5009,,-82.0
13.5443,,-90.0
13.7175,,-84.0
13.912,,-84.0
13.9948,-100.0,
14.1556,,-85.0
15.36,,-86.0
15.5519,,-84.0
15.6306,-98.0,
16.0011,,-93.0
16.0486,-97.0,
16.1681,,-91.0
17.4837,-95.0,
17.6018,,-82.0
17.8228,,-92.0
18.0224,,-95.0
18.2389,,-86.0
19.7001,,-78.0
19.8836,,-84.0
20.0758,,-88.0
21.5038,,-88.0
21.7344,,-91.0
21.9482,,-88.0
23.1477,,-79.0
23.5574,,-92.0
23.7764,,-82.0
23.97,,-83.0
25.4805,-98.0,
25.61,,-84.0
25.8174,,-86.0
26.0022,,-92.0
26.2115,,-78.0
27.5288,-96.0,
27.658,,-80.0
27.8477,,-76.0
28.0548,,-82.0
29.4948,,-100.0
29.6778,,-77.0
29.7787,-98.0,
29.8798,,-89.0
29.9804,-97.0,
30.0965,,-86.0
31.5475,,-88.0
31.7429,,-76.0
31.823,-97.0,
31.9495,,-93.0
32.0225,-94.0,
33.489,-98.0,
33.6177,,-77.0
33.8038,,-94.0
34.0796,-100.0,
35.4519,,-78.0
35.7117,-96.0,
35.8652,,-85.0
35.9191,-98.0,
36.0601,,-77.0
36.4735,,-80.0
37.4943,,-86.0
37.7853,-100.0,
37.9132,,-88.0
38.117,,-84.0
39.9631,,-83.0
40.0254,-99.0,
41.1751,,-84.0
41.5908,,-81.0
41.79,,-82.0
42.024,,-82.0
43.6422,,-82.0
43.8559,,-80.0
43.8965,-99.0,
44.049,,-82.0
45.486,,-82.0
45.6951,,-79.0
45.9086,,-83.0
46.098,,-86.0
47.177,-97.0,
47.5647,,-87.0
47.7484,,-81.0
47.9503,,-88.0
49.602,,-81.0
49.8032,,-82.0
50.006,,-80.0
50.0389,-97.0,
51.6453,,-83.0
51.8489,,-83.0
52.0659,,-81.0
52.0944,-97.0,
53.4879,,-79.0
53.5174,-98.0,
53.7044,,-84.0
53.8954,,-80.0
53.9169,-100.0,
54.0985,,-82.0
55.5228,,-84.0
55.7386,,-86.0
55.9432,,-84.0
55.9761,-102.0,
57.7927,,-80.0
57.9967,,-81.0
59.6403,,-80.0
59.6706,-96.0,
59.8277,,-84.0
59.8477,-94.0,
60.0455,,-84.0
61.4618,,-81.0
61.6768,,-87.0
61.6816,-97.0,
61.8614,,-83.0
61.8818,-100.0,
62.0719,,-87.0
62.0966,-99.0,
63.5052,,-89.0
63.699,,-83.0
63.9074,,-78.0
64.098,,-83.0
65.5556,,-90.0
65.7734,,-102.0
65.8072,-96.0,
65.9634,,-89.0
65.9967,-97.0,
66.1576,,-94.0
66.1934,-99.0,
67.5868,,-92.0
67.7955,,-90.0
68.0124,,-86.0
68.0434,-100.0,
68.201,,-90.0
68.2412,-96.0,
68.4001,,-84.0
68.4413,-96.0,
68.6706,-97.0,
68.8285,,-99.0
68.8787,-95.0,
69.0106,,-88.0
69.224,,-95.0
69.2727,-98.0,
69.4467,,-88.0
69.4846,-90.0,
69.6707,,-93.0
69.7012,-96.0,
69.8739,-94.0,
70.0804,-91.0,
70.2425,,-90.0
70.2816,-90.0,
71.6742,,-96.0
71.8802,,-102.0
72.0925,,-87.0
73.5304,,-94.0
73.5724,-93.0,
73.7544,-92.0,
73.9211,,-90.0
73.9623,-91.0,
74.3743,-88.0,
75.3461,,-93.0
75.6078,-98.0,
75.9693,,-87.0
76.013,-95.0,
77.4788,-83.0,
77.6058,,-98.0
77.6558,-87.0,
77.8084,,-100.0
77.8697,-84.0,
78.0176,,-92.0
78.1008,-94.0,
78.8589,,-100.0
79.5276,-84.0,
79.6823,,-94.0
79.7145,-95.0,
79.9257,-85.0,
80.1491,-85.0,
81.5688,-95.0,
81.7993,-93.0,
83.6237,-84.0,
83.7827,,-95.0
83.8342,-90.0,
84.0431,-84.0,
85.2606,-86.0,
85.4703,-91.0,
85.8865,-82.0,
86.0593,,-99.0
86.1036,-90.0,
87.4698,,-94.0
87.5338,-93.0,
87.6717,,-98.0
87.7181,-88.0,
87.883,,-95.0
87.9309,-90.0,
89.5166,,-92.0
89.5531,-85.0,
89.7609,-91.0,
89.9335,,-99.0
89.962,-90.0,
91.618,-85.0,
91.7707,,-93.0
91.8338,-95.0,
91.9706,,-90.0
92.0228,-91.0,
93.4403,-85.0,
93.6506,-83.0,
93.8617,-84.0,
94.0668,-86.0,
95.498,,-94.0
95.541,-89.0,
95.6639,,-100.0
95.8605,,-89.0
