AppTimestamp(s),Latitude_degrees,Longitude_degrees
61.4292,49.46132723,11.11158137
68.1319,49.46131767,11.11151533
73.7812,49.46130547,11.11145118
81.9135,49.46128262,11.11135671
87.2414,49.46131622,11.1113369
93.0701,49.46133008,11.11139407
99.3377,49.46129647,11.11141369
130.7919,49.46129647,11.11141369
135.6225,49.46133008,11.11139407
141.3263,49.46131622,11.1113369
146.4547,49.46128262,11.11135671
155.2803,49.46130547,11.11145118
160.834,49.46131767,11.11151533
166.6687,49.46132723,11.11158137
