AppTimestamp(s),wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:91,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:06,wifi_rssi_20:23:00:00:01:07,wifi_rssi_20:23:00:00:01:43,wifi_rssi_20:23:00:00:02:16,wifi_rssi_20:23:00:00:02:17,wifi_rssi_20:23:00:00:02:19,wifi_rssi_20:23:00:00:02:20,wifi_rssi_20:23:00:00:02:25,wifi_rssi_20:23:00:00:02:26,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:91,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:06,wifi_freq_20:23:00:00:01:07,wifi_freq_20:23:00:00:01:43,wifi_freq_20:23:00:00:02:16,wifi_freq_20:23:00:00:02:17,wifi_freq_20:23:00:00:02:19,wifi_freq_20:23:00:00:02:20,wifi_freq_20:23:00:00:02:25,wifi_freq_20:23:00:00:02:26,wifi_freq_20:23:00:00:03:11
1.4479,-57.0,,,,-75.0,-81.0,-77.0,-83.0,,,,,,,,,,,,,,,,-75.0,2417.0,,,,2437.0,2422.0,2437.0,5220.0,,,,,,,,,,,,,,,,2462.0
3.4084,-51.0,,-78.0,,-73.0,-74.0,-74.0,,,,,,,,,,,,,,,,,-66.0,2417.0,,2462.0,,2437.0,2422.0,2437.0,,,,,,,,,,,,,,,,,2462.0
5.5539,-60.0,,,,-76.0,-74.0,-77.0,,,,-82.0,,,,,,,,,,,,,-54.0,2417.0,,,,2437.0,2422.0,2437.0,,,,2437.0,,,,,,,,,,,,,2462.0
7.5078,-59.0,-81.0,,,-79.0,,-67.0,,,,-81.0,,,,,,,,,,,,,-61.0,2417.0,2452.0,,,2437.0,,2437.0,,,,2437.0,,,,,,,,,,,,,2462.0
9.5611,-62.0,,,,-76.0,-75.0,-71.0,,,,-76.0,,,,,,,,,,,,,-68.0,2417.0,,,,2437.0,2422.0,2437.0,,,,2437.0,,,,,,,,,,,,,2462.0
11.4109,-57.0,,-80.0,,-77.0,,-70.0,,,,-80.0,,,,,,,,,,,,,-48.0,2417.0,,2462.0,,2437.0,,2437.0,,,,2437.0,,,,,,,,,,,,,2462.0
13.4477,-56.0,,,,-81.0,-79.0,-74.0,,,,-72.0,,,,,,,,,,,,,-40.0,2417.0,,,,2437.0,2422.0,2437.0,,,,2437.0,,,,,,,,,,,,,2462.0
15.4137,-51.0,-79.0,-82.0,,,-77.0,,,,-79.0,,,,,,,,,,,,,,-57.0,2417.0,2452.0,2462.0,,,2422.0,,,,2462.0,,,,,,,,,,,,,,2462.0
17.4322,-52.0,-83.0,,,-83.0,-77.0,-73.0,,,,,,,,,,,,,,,,,-61.0,2417.0,2452.0,,,2437.0,2422.0,2437.0,,,,,,,,,,,,,,,,,2462.0
19.5612,-50.0,,,,-80.0,-79.0,-72.0,,,,-79.0,,,,,,,,,,,,,-63.0,2417.0,,,,2437.0,2422.0,2437.0,,,,2437.0,,,,,,,,,,,,,2462.0
21.6181,-52.0,,-81.0,,,-77.0,-75.0,,,,,,-81.0,,,,,,,,,,,-68.0,2417.0,,2462.0,,,2422.0,2437.0,,,,,,2462.0,,,,,,,,,,,2462.0
