AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:91,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:93,wifi_rssi_20:23:00:00:00:94,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:00:99,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:02,wifi_rssi_20:23:00:00:01:05,wifi_rssi_20:23:00:00:01:06,wifi_rssi_20:23:00:00:01:07,wifi_rssi_20:23:00:00:01:08,wifi_rssi_20:23:00:00:01:09,wifi_rssi_20:23:00:00:01:10,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:13,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:37,wifi_rssi_20:23:00:00:01:43,wifi_rssi_20:23:00:00:01:44,wifi_rssi_20:23:00:00:01:45,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:66,wifi_rssi_20:23:00:00:02:16,wifi_rssi_20:23:00:00:02:17,wifi_rssi_20:23:00:00:02:18,wifi_rssi_20:23:00:00:02:19,wifi_rssi_20:23:00:00:02:20,wifi_rssi_20:23:00:00:02:21,wifi_rssi_20:23:00:00:02:22,wifi_rssi_20:23:00:00:02:23,wifi_rssi_20:23:00:00:02:24,wifi_rssi_20:23:00:00:02:25,wifi_rssi_20:23:00:00:02:26,wifi_rssi_20:23:00:00:02:27,wifi_rssi_20:23:00:00:02:29,wifi_rssi_20:23:00:00:02:30,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:91,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:93,wifi_freq_20:23:00:00:00:94,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:00:99,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:02,wifi_freq_20:23:00:00:01:05,wifi_freq_20:23:00:00:01:06,wifi_freq_20:23:00:00:01:07,wifi_freq_20:23:00:00:01:08,wifi_freq_20:23:00:00:01:09,wifi_freq_20:23:00:00:01:10,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:13,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:37,wifi_freq_20:23:00:00:01:43,wifi_freq_20:23:00:00:01:44,wifi_freq_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:66,wifi_freq_20:23:00:00:02:16,wifi_freq_20:23:00:00:02:17,wifi_freq_20:23:00:00:02:18,wifi_freq_20:23:00:00:02:19,wifi_freq_20:23:00:00:02:20,wifi_freq_20:23:00:00:02:21,wifi_freq_20:23:00:00:02:22,wifi_freq_20:23:00:00:02:23,wifi_freq_20:23:00:00:02:24,wifi_freq_20:23:00:00:02:25,wifi_freq_20:23:00:00:02:26,wifi_freq_20:23:00:00:02:27,wifi_freq_20:23:00:00:02:29,wifi_freq_20:23:00:00:02:30,wifi_freq_20:23:00:00:03:11
1.4479,,-57.0,-92.0,,-87.0,-85.0,-75.0,-81.0,-77.0,-83.0,,,-86.0,,,,,,,,,,,-90.0,,,,,,,,-90.0,,,-88.0,-90.0,-90.0,-89.0,-89.0,,,,,,,,,,,,,,,,,,,,,-75.0,,2417.0,2452.0,,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,,,2437.0,,,,,,,,,,,2462.0,,,,,,,,5240.0,,,5500.0,5500.0,5500.0,5500.0,5500.0,,,,,,,,,,,,,,,,,,,,,2462.0
3.4084,-90.0,-51.0,-84.0,-78.0,-90.0,-79.0,-73.0,-74.0,-74.0,-85.0,-86.0,-83.0,-84.0,,,,,,,,-93.0,,,,,,,,,,,-91.0,-90.0,,,,,,,,-88.0,,,,,,,,,,,,,,,,,,,-66.0,2437.0,2417.0,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2437.0,,,,,,,,2462.0,,,,,,,,,,,5240.0,5240.0,,,,,,,,2462.0,,,,,,,,,,,,,,,,,,,2462.0
5.5539,-89.0,-60.0,,-84.0,-88.0,-90.0,-76.0,-74.0,-77.0,-86.0,-89.0,-88.0,-82.0,,,,,,,,,,,,,,-89.0,-89.0,,,,-92.0,-92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-54.0,2437.0,2417.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2437.0,,,,,,,,,,,,,,5260.0,5260.0,,,,5240.0,5240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0
7.5078,,-59.0,-81.0,-89.0,,-90.0,-79.0,-86.0,-67.0,-92.0,,-89.0,-81.0,,,,,,,,,,,-91.0,,,,,,,,-91.0,-91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-61.0,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,,2462.0,2437.0,,,,,,,,,,,2462.0,,,,,,,,5240.0,5240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0
9.5611,-92.0,-62.0,-90.0,,-90.0,-89.0,-76.0,-75.0,-71.0,-86.0,-84.0,-85.0,-76.0,,,,,,,,-95.0,,,,,,-88.0,,,,,-92.0,-91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-68.0,2437.0,2417.0,2452.0,,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2437.0,,,,,,,,2462.0,,,,,,5260.0,,,,,5240.0,5240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0
11.4109,,-57.0,-94.0,-80.0,-92.0,-81.0,-77.0,-81.0,-70.0,,-88.0,-81.0,-80.0,,,,,,,,,,,,,,,,,,,-89.0,-91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-48.0,,2417.0,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,5220.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,5240.0,5240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0
13.4477,-87.0,-56.0,-83.0,,-90.0,-83.0,-81.0,-79.0,-74.0,-88.0,,-82.0,-72.0,,,,,,,,-90.0,,,,,,,,,,,-90.0,-89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-40.0,2437.0,2417.0,2452.0,,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,,2462.0,2437.0,,,,,,,,2462.0,,,,,,,,,,,5240.0,5240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0
15.4137,,-51.0,-79.0,-82.0,-85.0,,-84.0,-77.0,-83.0,,-88.0,-79.0,-88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-57.0,,2417.0,2452.0,2462.0,2412.0,,2437.0,2422.0,2437.0,,5220.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0
17.4322,,-52.0,-83.0,,-92.0,-85.0,-83.0,-77.0,-73.0,-88.0,,-83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61.0,,2417.0,2452.0,,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0
19.5612,,-50.0,-81.0,-81.0,-93.0,-83.0,-80.0,-79.0,-72.0,,-86.0,-86.0,-79.0,,,,,,,,-95.0,,,-89.0,,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-63.0,,2417.0,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,5220.0,2462.0,2437.0,,,,,,,,2462.0,,,2462.0,,,5260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0
