AppTimestamp(s),ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:06
0.4719,,,-90.0
0.701,,,-90.0
0.7801,-98.0,,
0.8787,,,-90.0
1.0976,,,-90.0
1.5126,,,-94.0
2.5222,,,-90.0
2.74,,,-93.0
3.1725,,,-93.0
4.5693,,,-84.0
4.7877,,,-84.0
4.9857,,,-85.0
6.6251,,,-88.0
6.8327,,,-97.0
7.0492,,,-93.0
8.5649,-96.0,,
8.7124,,,-81.0
10.5338,,,-92.0
10.7265,,,-90.0
11.1253,,,-83.0
12.5736,,,-89.0
12.6677,-96.0,,
12.7681,,,-84.0
12.9546,,,-91.0
13.0878,-97.0,,
13.1506,,,-84.0
14.5987,,,-82.0
14.6973,-98.0,,
15.0089,,,-89.0
15.4038,,,-81.0
15.9382,-94.0,,
16.0116,,,-82.0
16.6638,,,-88.0
17.0551,,,-89.0
18.668,,,-88.0
18.8721,,,-87.0
20.5166,,,-96.0
20.636,-98.0,,
20.7188,,,-83.0
20.9176,,,-87.0
21.1482,,,-86.0
22.7995,,,-83.0
24.6397,,,-85.0
24.8274,,,-92.0
25.0283,,,-83.0
26.6805,,,-90.0
26.8657,,,-92.0
26.9774,-95.0,,
27.1188,,,-88.0
28.5055,,,-83.0
28.9245,,,-85.0
29.0311,-99.0,,
29.1434,,,-88.0
29.1625,,-100.0,
30.5658,,,-88.0
32.6243,,,-90.0
32.746,-99.0,,
34.6511,,,-85.0
34.8616,,,-86.0
35.0783,,,-85.0
36.5224,,,-85.0
36.7048,,,-92.0
36.9262,,,-87.0
38.5696,,,-85.0
38.6798,-99.0,,
38.7829,,,-85.0
39.0088,,,-85.0
39.0902,-98.0,,
40.6322,,,-85.0
40.8266,,,-85.0
41.0329,,,-85.0
42.577,-101.0,,
42.6966,,,-82.0
42.8823,,,-85.0
42.98,-99.0,,
43.0958,,,-83.0
44.1191,,,-83.0
44.5516,,,-84.0
44.7384,,,-86.0
44.8249,-100.0,,
44.9354,,,-88.0
46.5976,,,-86.0
46.6993,-101.0,,
46.8017,,,-86.0
46.9813,,,-87.0
48.1455,-100.0,,
48.6402,,,-85.0
48.7378,-99.0,,
49.0345,,,-85.0
50.0575,,,-85.0
50.7099,,,-84.0
50.8664,,,-81.0
52.7163,,,-94.0
53.1359,,,-88.0
54.5798,,,-86.0
54.6978,,-101.0,
54.7725,,,-85.0
54.994,,,-86.0
56.816,,,-87.0
58.4619,,,-88.0
58.6685,,,-85.0
58.8603,,,-86.0
59.0784,,,-84.0
60.5342,,,-84.0
60.6244,-98.0,,
60.7237,,,-85.0
61.1301,,,-89.0
62.5695,,,-95.0
63.5895,,,-88.0
64.6259,,,-90.0
65.0292,,,-87.0
65.132,-98.0,,
66.669,,,-91.0
66.9725,-107.0,,
67.0811,,,-94.0
68.5247,,,-95.0
69.1162,,,-92.0
70.555,,,-95.0
70.9708,,,-100.0
72.6581,,,-91.0
72.7214,,-98.0,
73.0416,,,-95.0
74.7911,,-98.0,
74.8851,,,-99.0
147.0285,,,-98.0
148.8614,,,-97.0
149.066,,,-89.0
150.5163,,,-95.0
150.6049,,-103.0,
150.736,,,-92.0
152.5473,,,-86.0
152.9476,,,-98.0
154.7882,,,-91.0
154.9984,,,-90.0
155.0778,-97.0,,
156.6499,,,-91.0
156.7162,-95.0,,
157.0318,,,-93.0
158.4684,,,-86.0
158.5764,-98.0,,
158.6745,,,-89.0
159.0843,,,-79.0
160.552,,,-87.0
160.7476,,,-83.0
160.8207,-95.0,,
160.945,,,-87.0
162.5021,,-101.0,
162.5897,,,-82.0
162.8064,,,-86.0
162.8902,-97.0,,
162.932,,-97.0,
162.995,,,-85.0
164.6528,,,-83.0
164.8506,,,-83.0
