AppTimestamp(s),Latitude_degrees,Longitude_degrees
60.7257,49.46108781,11.11083248
65.3405,49.46107372,11.11077433
69.7171,49.46105793,11.11070973
75.1868,49.46110224,11.11066878
82.7915,49.461172,11.11062859
90.8602,49.46114717,11.11052686
96.1975,49.46110144,11.11055322
127.6773,49.46110144,11.11055322
133.4948,49.46114717,11.11052686
140.9191,49.461172,11.11062859
148.8905,49.46110224,11.11066878
154.2619,49.46105793,11.11070973
159.2177,49.46107372,11.11077433
163.3683,49.46108781,11.11083248
